fecha,real,Naive,MediaMovil,GARCH,EGARCH
2025-07-20,0.03419627339244729,0.013712989767290627,0.015397659675790081,0.02390028164658244,0.02129147880977241
2025-07-27,0.011233392076569624,0.03419627339244729,0.01916186233107193,0.02108246502406498,0.018877602238110816
2025-08-03,0.03572858770708304,0.011233392076569624,0.020139398694711173,0.026484655689413748,0.024775896062781414
2025-08-10,0.034554719947703746,0.03572858770708304,0.02125287283758736,0.02864363127247971,0.026860676094610937
2025-08-17,0.019121895857982237,0.034554719947703746,0.0245469570745349,0.02629010597747012,0.02539772828615615
2025-08-24,0.005963963727653338,0.019121895857982237,0.02306926937257625,0.02241558680553551,0.020607798812469134
2025-08-31,0.012516977682272834,0.005963963727653338,0.0216442953476217,0.019966580265026505,0.018524687883678753
2025-09-07,0.009486555847612705,0.012516977682272834,0.02087860001987534,0.017606573420503292,0.016959161930110912
2025-09-14,0.013050693057482405,0.009486555847612705,0.020350295779915602,0.01688988452971838,0.01721572799648059
2025-09-21,0.019194885105029785,0.013050693057482405,0.01770709823804499,0.017624113499352344,0.018432619611551133
2025-09-28,0.011780415319585721,0.019194885105029785,0.01870228486660251,0.016144679012538556,0.017216090076448743
2025-10-05,0.007332686516126526,0.011780415319585721,0.015708763318165345,0.014316185319284545,0.014962607538923683
2025-10-12,0.022915715361984116,0.007332686516126526,0.012306009139218194,0.017386540656215466,0.017663604483572053
2025-10-19,0.01246128594766851,0.022915715361984116,0.01278023657721843,0.01614409891447505,0.017044831844034217
