estrategia,retorno_total_%,max_drawdown_%,sharpe,se_sharpe,ic95_bajo,ic95_alto,n_obs,par,costo,spread_%,signo_train,dias_con_posicion,desde,hasta
Kelly diario (con cobre),-17.067644525928472,-18.625093784621694,-1.39825714144157,0.9182910967603468,-3.4692946246334877,0.4968663446200702,300,USD/BRL,ida+vuelta 0.15%,0.15,,300,2025-07-17,2026-09-11
Umbral cobre,-25.89680501149868,-30.914141232406045,-1.6491113924240537,0.9189845558954576,-3.4818945198373394,0.2054152864955778,300,USD/COP,bruto,0.2,"1,1,1,1,1",290,2025-07-17,2026-09-11
Umbral cobre,-58.55980610331342,-59.37871846568675,-4.976324295706851,0.9387614211431664,-6.828324816675209,-3.1915783916473757,300,USD/COP,ida+vuelta 0.20%,0.2,"1,1,1,1,1",290,2025-07-17,2026-09-11
Kelly diario (con cobre),39.25350328878665,-14.759710097958356,1.9818541268321175,0.9200794764403432,-0.24370418937659127,4.1978760666845485,300,USD/COP,bruto,0.2,,300,2025-07-17,2026-09-11
Kelly diario (con cobre),-22.71429479150271,-30.608863599907878,-1.4112436725886024,0.9183242062795883,-3.816855417507843,0.831856992890365,300,USD/COP,ida+vuelta 0.20%,0.2,,300,2025-07-17,2026-09-11
Umbral cobre,-43.92656346380613,-47.72434780638106,-1.7994769513727253,0.9194546547623774,-3.479544480397098,-0.1291228848300984,300,USD/PEN,bruto,0.2,"1,1,1,1,1",290,2025-06-10,2026-09-11
Umbral cobre,-68.66158124721417,-69.77672703891943,-3.7291554011687067,0.9290735528884547,-5.463904072233395,-2.0387895523361808,300,USD/PEN,ida+vuelta 0.20%,0.2,"1,1,1,1,1",290,2025-06-10,2026-09-11
Kelly diario (con cobre),1376.8185812785384,-3.729190475875155,10.78942151852846,1.0168674255644843,8.813207703714868,13.007841469331032,300,USD/PEN,bruto,0.2,,300,2025-06-10,2026-09-11
Kelly diario (con cobre),719.3134714739253,-4.504384119411553,8.45122106387026,0.9793051426652849,6.555070098974547,10.547866306120254,300,USD/PEN,ida+vuelta 0.20%,0.2,,300,2025-06-10,2026-09-11
Umbral cobre,-0.1877811669537599,-13.741311749018493,0.04195562242417253,0.9165167395036611,-1.582995652494247,1.5756613051322654,300,USD/ZAR,bruto,0.1,"1,1,1,-1,-1",290,2025-07-17,2026-09-11
Umbral cobre,-25.325689218755766,-27.85188622455227,-2.132245802528636,0.9206396980382726,-3.787132642225722,-0.6512879089744931,300,USD/ZAR,ida+vuelta 0.10%,0.1,"1,1,1,-1,-1",290,2025-07-17,2026-09-11
Kelly diario (con cobre),14.607420375864134,-7.78826811077058,1.0804039176851543,0.9175758575592443,-0.9001731062652153,2.921695139347655,300,USD/ZAR,bruto,0.1,,300,2025-07-17,2026-09-11
Kelly diario (con cobre),-14.794953640802621,-17.34884066607667,-1.1471835369886785,0.9177109476550318,-3.346022867592546,0.7800226733027595,300,USD/ZAR,ida+vuelta 0.10%,0.1,,300,2025-07-17,2026-09-11
Umbral cobre,0.15101648453974548,-10.973951302180696,0.05618206906827817,0.916518008938254,-1.4487452556360505,1.5954079598216329,300,USD/JPY,bruto,0.02,"1,-1,-1,-1,-1",290,2025-07-17,2026-09-11
Umbral cobre,-5.493092236566932,-14.22723571935175,-0.5450902198977777,0.9167852559785817,-2.0427961711858176,0.9830106017704779,300,USD/JPY,ida+vuelta 0.02%,0.02,"1,-1,-1,-1,-1",290,2025-07-17,2026-09-11
Kelly diario (con cobre),10.931590083462295,-3.9414793765288003,1.1363270870378743,0.91768843591633,-0.3894196055640281,2.9233833357931807,300,USD/JPY,bruto,0.02,,300,2025-07-17,2026-09-11
Kelly diario (con cobre),4.667448153784215,-4.1535587661636,0.5219814625903662,0.9167628416038032,-0.9627867613482854,2.251673364458527,300,USD/JPY,ida+vuelta 0.02%,0.02,,300,2025-07-17,2026-09-11
Umbral cobre,3.6729788605707636,-4.238145276747085,0.7395810111603179,0.9170123409493726,-1.1873158045207077,2.5988546781004236,300,USD/CAD,bruto,0.02,"-1,-1,-1,-1,-1",290,2025-07-15,2026-09-11
Umbral cobre,-2.1688812677666314,-7.509400709875013,-0.4156604001471484,0.9166722183785676,-2.342513693437274,1.4219434418449504,300,USD/CAD,ida+vuelta 0.02%,0.02,"-1,-1,-1,-1,-1",290,2025-07-15,2026-09-11
Kelly diario (con cobre),-6.944723959567211,-9.607291854865451,-1.4120053567899964,0.9183261576800149,-3.3553173153665177,0.5734711855399472,300,USD/CAD,bruto,0.02,,300,2025-07-15,2026-09-11
Kelly diario (con cobre),-12.296898591198701,-14.114279282790598,-2.5910037367046828,0.9225989561772563,-4.533879841350352,-0.652385161675806,300,USD/CAD,ida+vuelta 0.02%,0.02,,300,2025-07-15,2026-09-11
Umbral cobre,4.878749820786954,-11.402760590352312,0.6025445677771678,0.916845188637062,-1.402076435746631,2.683666422634016,300,USD/CHF,bruto,0.03,"-1,-1,-1,-1,-1",290,2025-07-16,2026-09-11
Umbral cobre,-3.860018394551512,-15.475747775601778,-0.4334427120916317,0.9166859445712269,-2.423518919418538,1.606301275773071,300,USD/CHF,ida+vuelta 0.03%,0.03,"-1,-1,-1,-1,-1",290,2025-07-16,2026-09-11
Kelly diario (con cobre),0.4336978064713115,-6.265919833134181,0.08669417216504867,0.9165219727130454,-1.4512363628333345,1.6415574042919279,300,USD/CHF,bruto,0.03,,300,2025-07-16,2026-09-11
Kelly diario (con cobre),-7.979137031174144,-11.8824383031637,-0.9486236455321879,0.9173329882698564,-2.5211220810127033,0.602472096878679,300,USD/CHF,ida+vuelta 0.03%,0.03,,300,2025-07-16,2026-09-11
Umbral cobre,2.673142457337785,-7.506704338793579,0.40867880698159703,0.9166669863944376,-1.4433567759034955,2.2294550413419936,300,EUR/USD,bruto,0.01,"1,1,1,1,1",290,2025-07-17,2026-09-11
Umbral cobre,-0.26152069738052397,-8.400314780395469,-0.008475413617042989,0.9165152043043585,-1.8907609545684734,1.8150822789388148,300,EUR/USD,ida+vuelta 0.01%,0.01,"1,1,1,1,1",290,2025-07-17,2026-09-11
Kelly diario (con cobre),10.029729393617615,-2.9599588981756186,1.4203476946949982,0.9183475990184994,-0.11148211179709636,3.144934479577155,300,EUR/USD,bruto,0.01,,300,2025-07-17,2026-09-11
Kelly diario (con cobre),6.921092686583807,-3.060021427070525,1.0032458068513255,0.9174298357812483,-0.5223761683523696,2.698207130861832,300,EUR/USD,ida+vuelta 0.01%,0.01,,300,2025-07-17,2026-09-11
Umbral cobre,0.3490535623182467,-8.978716311783053,0.07795367430209249,0.9165206642290699,-1.6386869830532387,1.831784180312834,300,GBP/USD,bruto,0.02,"1,1,1,1,1",290,2025-07-17,2026-09-11
Umbral cobre,-5.306148816794865,-10.747229666154478,-0.6959594573653283,0.9169554329103607,-2.4480017685897595,1.0687167891211187,300,GBP/USD,ida+vuelta 0.02%,0.02,"1,1,1,1,1",290,2025-07-17,2026-09-11
Kelly diario (con cobre),-7.674420713474417,-10.99249322276713,-1.0314075777747125,0.9174818813755862,-3.0807791562112703,1.0459322924526104,300,GBP/USD,bruto,0.02,,300,2025-07-17,2026-09-11
Kelly diario (con cobre),-12.93005710810039,-15.277568445665624,-1.8113087338271567,0.9194933743908821,-3.8398283631233814,0.2402888931682039,300,GBP/USD,ida+vuelta 0.02%,0.02,,300,2025-07-17,2026-09-11
Umbral cobre,3.616604460713857,-11.734655778745328,0.40912887197899134,0.9166673210002697,-1.6598171445067698,2.4896771129668145,300,AUD/USD,bruto,0.02,"1,1,1,1,1",290,2025-07-17,2026-09-11
Umbral cobre,-2.2221451254544555,-13.450160614208196,-0.1927473508977233,0.9165489180810066,-2.296827965837608,1.8977470014760476,300,AUD/USD,ida+vuelta 0.02%,0.02,"1,1,1,1,1",290,2025-07-17,2026-09-11
Kelly diario (con cobre),10.637123086623191,-9.244747241492146,1.114234888962785,0.917643285258295,-0.9430177228975892,3.0773143598021733,300,AUD/USD,bruto,0.02,,300,2025-07-17,2026-09-11
Kelly diario (con cobre),4.442587281583266,-10.08681465806699,0.5015945058317209,0.9167438728531546,-1.5729847108638386,2.441213075020241,300,AUD/USD,ida+vuelta 0.02%,0.02,,300,2025-07-17,2026-09-11
Umbral cobre,-2.869719518502134,-12.66514292495996,-0.24832190827717981,0.9165712045172582,-1.9430331814684003,1.4844290121840227,300,NZD/USD,bruto,0.03,"1,1,1,1,1",290,2025-07-17,2026-09-11
Umbral cobre,-10.964949486144127,-15.99487451647894,-1.1159984637118052,0.9176468570670375,-2.834062060692013,0.6202206503902826,300,NZD/USD,ida+vuelta 0.03%,0.03,"1,1,1,1,1",290,2025-07-17,2026-09-11
Kelly diario (con cobre),5.053933171560487,-8.40173608146334,0.5544546520443421,0.9167946152775747,-1.4349369389675164,2.349825093052266,300,NZD/USD,bruto,0.03,,300,2025-07-17,2026-09-11
Kelly diario (con cobre),-3.371116357225845,-10.940341391433561,-0.3173408208120787,0.9166066997323642,-2.3162834268397243,1.4934603320206703,300,NZD/USD,ida+vuelta 0.03%,0.03,,300,2025-07-17,2026-09-11
Umbral cobre,5.783105004065714,-9.251423076386478,0.6258749091925518,0.9168712372355935,-1.3097930778064333,2.554766486426597,300,USD/NOK,bruto,0.08,"-1,-1,-1,-1,-1",285,2025-07-25,2026-09-21
Umbral cobre,-15.787659663587927,-19.933268973471073,-1.747925094279506,0.9192888937789652,-3.649014552569978,0.08218092321606661,300,USD/NOK,ida+vuelta 0.08%,0.08,"-1,-1,-1,-1,-1",285,2025-07-25,2026-09-21
Kelly diario (con cobre),-7.882670525378888,-9.634703008773371,-0.8019415042089438,0.9170996948498139,-2.343130999331616,0.7309929728102247,300,USD/NOK,bruto,0.08,,300,2025-07-25,2026-09-21
Kelly diario (con cobre),-27.48574218031421,-27.338114432122495,-3.256669479571557,0.9261082515012062,-4.9382056475881635,-1.6996163655802117,300,USD/NOK,ida+vuelta 0.08%,0.08,,300,2025-07-25,2026-09-21
