ds,y,y_next,nhits_h1,nhits_h2,nhits_h3,nhits_h4,nhits_h5,vol_garch,macd,rsi,precio_min_ventana,precio_max_ventana,copper_ret_1d,copper_mom_5d,dias_desde_refit
2022-04-07,799.4099731445312,805.5499877929688,795.04724,799.70215,797.2048,797.8764,800.5541,0.010133227689483054,0.7925019435995759,50.244567396359564,777.510009765625,828.0,-0.008166738169883227,-0.010120147279645539,4
2022-04-08,805.5499877929688,814.5,799.70215,797.2048,797.8764,800.5541,802.0525,0.009987695007902673,1.9693546719041946,51.722254180961876,777.510009765625,828.0,0.005310605923722223,0.008008522274227657,5
2022-04-11,814.5,816.75,804.5751,803.08966,804.73114,801.6688,799.5526,0.010062920544596114,3.217656548185843,64.55991725855364,777.510009765625,828.0,-0.019575916918115405,-0.030985079734576468,1
2022-04-12,816.75,805.5499877929688,803.08966,804.73114,801.6688,799.5526,800.9885,0.00974989379293537,4.010390502402913,66.4869853008909,777.510009765625,828.0,0.016180371556952136,-0.018159026340501153,2
2022-04-13,805.5499877929688,805.3499755859375,804.73114,801.6688,799.5526,800.9885,798.2898,0.010110364863627753,3.6085380365309447,57.88363069260353,777.510009765625,828.0,0.0006375056286456698,-0.005598441965941124,3
2022-04-14,805.3499755859375,814.9000244140625,801.6688,799.5526,800.9885,798.2898,800.60876,0.009774097104022373,3.1727774296995452,60.214792656111264,777.510009765625,828.0,0.002122290505525724,0.004685800886825676,4
2022-04-15,814.9000244140625,814.4500122070312,799.5526,800.9885,798.2898,800.60876,800.29034,0.009923486975724061,3.35360186388918,73.25538489571866,777.510009765625,828.0,0.0,-0.0006355471812709671,5
2022-04-18,814.4500122070312,816.0900268554688,812.54034,808.2018,807.2379,812.44543,806.3504,0.009593573964749412,3.265586670605568,72.65478152962717,777.510009765625,828.0,0.01660923204110943,0.03618883431472056,1
2022-04-19,816.0900268554688,819.2999877929688,808.2018,807.2379,812.44543,806.3504,804.2283,0.009284815073274433,3.1396196076307286,72.65819108528193,777.510009765625,828.0,-0.017245385702313175,0.002125898998712925,2
2022-04-20,819.2999877929688,814.9299926757812,807.2379,812.44543,806.3504,804.2283,804.3548,0.009027255483246246,3.0895029258966193,70.5645567237294,777.510009765625,828.0,-0.013777188294921696,-0.01221582499720908,3
2022-04-21,814.9299926757812,824.3499755859375,812.44543,806.3504,804.2283,804.3548,801.4509,0.008845303849711054,2.598778303567583,68.70345562939345,777.510009765625,828.0,0.011547204670620877,-0.002862033835321452,4
2022-04-22,824.3499755859375,836.75,806.3504,804.2283,804.3548,801.4509,800.403,0.009051157039866092,2.731734796023771,75.44690838266818,777.510009765625,828.0,-0.026062172064567013,-0.028513891559325235,5
2022-04-25,836.75,844.4099731445312,825.0547,829.42865,832.7674,831.5615,834.90076,0.009564333130260824,3.4325858401671647,82.10895033843329,777.510009765625,836.75,-0.029565371325842638,-0.07235198536161626,1
2022-04-26,844.4099731445312,846.4099731445312,829.42865,832.7674,831.5615,834.90076,836.1278,0.009535123997200244,4.142319861659269,81.96573238742707,777.510009765625,844.4099731445312,-0.0020249359120116427,-0.058124767663280556,2
2022-04-27,846.4099731445312,846.4500122070312,832.7674,831.5615,834.90076,836.1278,836.3074,0.009234860381911267,4.449768682850454,79.58205088410244,777.510009765625,846.4099731445312,0.0032604763781424375,-0.04193992887490836,3
2022-04-28,846.4500122070312,857.510009765625,831.5615,834.90076,836.1278,836.3074,845.4532,0.008927434317453417,4.353733907681413,77.88381197133165,777.510009765625,846.4500122070312,-0.009246878261905584,-0.061656208048009954,4
2022-04-29,857.510009765625,852.010009765625,834.90076,836.1278,836.3074,845.4532,850.8689,0.009257297639103641,4.703182699037356,78.50229822015348,777.510009765625,857.510009765625,-0.004200460650535515,-0.04091653044853702,5
2022-05-02,852.010009765625,860.760009765625,859.1701,866.193,869.14307,879.78955,874.2772,0.009116426281259771,4.245993414617702,72.40151013399802,777.510009765625,857.510009765625,-0.03225530051190937,-0.043492930345010825,1
2022-05-03,860.760009765625,855.010009765625,866.193,869.14307,879.78955,874.2772,864.8642,0.009194863069031712,4.206909860770963,86.20326411752039,777.510009765625,860.760009765625,0.0036357441380119823,-0.038063096080001246,2
2022-05-04,855.010009765625,853.010009765625,869.14307,879.78955,874.2772,864.8642,872.60315,0.009071121224006719,3.496991179369024,80.35452600036412,777.510009765625,860.760009765625,0.013373043660184394,-0.028286092433934318,3
2022-05-05,853.010009765625,861.780029296875,879.78955,874.2772,864.8642,872.60315,881.9874,0.008795254543900517,2.6351670356655426,75.66328979903199,777.510009765625,860.760009765625,-0.010100497643645998,-0.029115212332185943,4
2022-05-06,861.780029296875,858.489990234375,874.2772,864.8642,872.60315,881.9874,878.2592,0.008899589678819484,2.4046211438403766,78.66053826542492,777.510009765625,861.780029296875,-0.005499333209514505,-0.03037544932002153,5
2022-05-09,858.489990234375,868.260009765625,864.3753,859.8938,856.104,852.6472,859.9592,0.008668935021735,1.806708444060238,75.17213690364464,777.510009765625,861.780029296875,-0.01620475325248406,-0.014686876360731162,1
