ds,y,y_next,nhits_h1,nhits_h2,vol_garch,macd,rsi,precio_min_ventana,precio_max_ventana,copper_ret_1d,copper_mom_5d,dias_desde_refit
2022-02-21,0.7839079145037872,0.7839448370114764,0.78695196,0.78716123,0.0037920865781701897,-0.00031778360386786086,45.33759751219502,0.7730365093204139,0.8001600204050817,0.0,0.002662142347020437,2
2022-02-22,0.7839448370114764,0.7832632107729168,0.78716123,0.78552586,0.0037168579804940246,-0.0003681079732880568,41.534283548180085,0.7730365093204139,0.8001600204050817,-0.0021041150368183927,-0.004744485146335293,3
2022-02-23,0.7832632107729168,0.7853053322561288,0.78552586,0.78537685,0.0036490485395141896,-0.0004156382367325763,39.91832899643102,0.7730365093204139,0.8001600204050817,-0.006339359251972713,-0.012994166529529824,4
2022-02-24,0.7853053322561288,0.7806706263813485,0.78537685,0.7846987,0.0036276447972917684,-0.0002841550536838897,43.4666779162919,0.7730365093204139,0.8001600204050817,-0.006155277033755284,-0.015690629322818537,5
2022-02-25,0.7806706263813485,0.7839939991609218,0.786484,0.78596544,0.0037894035189943403,-0.0004728141530160471,42.65326667016402,0.7730365093204139,0.8001600204050817,0.004033195170668777,-0.010509936719237804,1
2022-02-28,0.7839939991609218,0.789484096173049,0.78596544,0.7862028,0.003834096926855675,-0.0003432987837331265,38.97300536672426,0.7730365093204139,0.8001600204050817,-0.006168393316155891,-0.01659471466683435,2
2022-03-01,0.789484096173049,0.7859472915687779,0.7862028,0.78675705,0.004065265407448519,0.00011791049477110033,54.29109005568867,0.7730365093204139,0.8001600204050817,0.031449872730158694,0.01696229159256836,3
2022-03-02,0.7859472915687779,0.7907575922969127,0.78675705,0.7822457,0.004097683522616602,0.0001864972225659753,45.08257781924598,0.7730365093204139,0.8001600204050817,0.014932059853336425,0.03882623688511656,4
2022-03-03,0.7907575922969127,0.7892472944271777,0.7822457,0.781956,0.004233469549185573,0.0005376680093934565,58.54176180905628,0.7730365093204139,0.8001600204050817,0.024611441643241864,0.07128426464141129,5
2022-03-04,0.7892472944271777,0.786528349722841,0.78696984,0.7863244,0.004160024216004925,0.0006429567663340854,55.12187487197602,0.7730365093204139,0.8001600204050817,0.03247536354111995,0.10219136097339607,1
2022-03-07,0.786528349722841,0.7811645343109661,0.7863244,0.78480184,0.004138117872869873,0.0005100135739557079,51.29413203847284,0.7730365093204139,0.8001600204050817,-0.0429036430863589,0.06243675430156579,2
2022-03-08,0.7811645343109661,0.7758553698794413,0.78480184,0.78416115,0.004317386811963843,6.476841913164594e-05,43.98892699258839,0.7730365093204139,0.8001600204050817,-0.004563576043598594,0.024855519334022833,3
2022-03-09,0.7758553698794413,0.781341559738305,0.78416115,0.7843157,0.004477546246523185,-0.0005495409911475844,36.31786130335651,0.7730365093204139,0.8001600204050817,-0.02946942805330367,-0.01965413096874814,4
2022-03-10,0.781341559738305,0.7839509911009134,0.7843157,0.78462726,0.004648261940695891,-0.0005474266810660342,44.01491197150703,0.7730365093204139,0.8001600204050817,0.017268899777085688,-0.026825999461753142,5
2022-03-11,0.7839509911009134,0.7852128588849737,0.7808312,0.7800476,0.0045981312747091245,-0.00034140107126188796,50.0452924916365,0.7730365093204139,0.8001600204050817,-0.005939792974359469,-0.0635016700426106,1
2022-03-14,0.7852128588849737,0.7799642923490008,0.7800476,0.7806066,0.00450354738537633,-0.00010358824944603842,51.299768987229605,0.7730365093204139,0.8001600204050817,-0.022677285829660453,-0.044366858828737706,2
2022-03-15,0.7799642923490008,0.783158934077324,0.7806066,0.7815613,0.004638778369697256,-0.00027356297021719194,46.90797980582517,0.7738141382975368,0.8001600204050817,-0.002440578011937699,-0.04233589644929026,3
