unique_id,ds,cutoff,y,AutoARIMA,AutoARIMA-lo-90,AutoARIMA-lo-80,AutoARIMA-hi-80,AutoARIMA-hi-90,Naive,Naive-lo-80,Naive-lo-90,Naive-hi-80,Naive-hi-90,NBEATS-median,NBEATS-lo-90,NBEATS-lo-80,NBEATS-hi-80,NBEATS-hi-90,NHITS-median,NHITS-lo-90,NHITS-lo-80,NHITS-hi-80,NHITS-hi-90
USDCLP,2025-01-31,2024-08-31,983.77001953125,934.1870110800389,853.0855308799652,870.9985746043748,997.3754475557031,1015.2884912801127,914.5800170898438,838.5418834666143,816.9861291500793,990.6181507130732,1012.1739050296082,1039.7593,1042.8302,1042.7773,1037.8234,1037.6494,1080.2418,1083.5935,1078.3528,1081.471,1082.7568
USDCLP,2025-02-28,2024-08-31,952.239990234375,936.5177972569029,848.2514936600624,867.7470460448236,1005.2885484689822,1024.7841008537434,914.5800170898438,831.2844150577743,807.6712692913629,997.8756191219132,1021.4887648883246,1079.8466,1075.206,1078.1805,1079.7672,1085.8983,1080.4221,1079.5902,1076.6008,1079.3019,1082.4944
USDCLP,2025-03-31,2025-02-28,916.3352661132812,961.6750900428178,918.6575057684287,928.1588843637962,995.1912957218394,1004.692674317207,952.239990234375,918.0501455828859,908.3577996991772,986.4298348858641,996.1221807695728,959.13074,959.4196,959.16223,959.8448,957.0875,962.7362,959.7826,963.68414,965.79047,964.3581
USDCLP,2025-04-30,2025-02-28,945.1900024414062,962.6975985177266,907.7519498628075,919.8879035395286,1005.5072934959247,1017.6432471726458,952.239990234375,903.8882482328099,890.181201232858,1000.5917322359401,1014.298779235892,965.5229,966.7831,964.25574,966.9352,968.2886,972.46075,968.9087,971.2942,974.54315,973.3295
USDCLP,2025-05-31,2025-02-28,938.4299926757812,965.4477151923584,899.7601492326729,914.268691349082,1016.6267390356347,1031.1352811520437,952.239990234375,893.0214421951089,876.2338066799944,1011.4585382736411,1028.2461737887556,973.3497,973.57806,971.16833,974.21594,974.17035,993.82275,993.4792,994.3351,997.4144,996.3966
USDCLP,2025-06-30,2025-02-28,919.1043090820312,967.8430505667441,893.1168517482392,909.6217745128126,1026.0643266206755,1042.569249385249,952.239990234375,883.8603009313969,864.4756091639794,1020.6196795373531,1040.0043713047705,963.66644,963.8021,963.5583,965.5214,963.5051,1000.3635,1000.25494,1000.35,1004.18634,1002.91785
USDCLP,2025-07-31,2025-02-28,981.4299926757812,970.3112437633051,887.494516369333,905.786410120976,1034.8360774056341,1053.1279711572772,952.239990234375,875.7891734534878,854.1164291960748,1028.6908070152622,1050.363551272675,955.7275,954.86456,955.7125,956.55975,956.5171,1009.4175,1007.0059,1010.4997,1010.82776,1011.0169
USDCLP,2025-08-31,2025-02-28,967.8200073242188,972.7644748909848,882.586349700669,902.5041698876048,1043.0247798943649,1062.9426000813007,952.239990234375,868.4923164532022,844.751014627551,1035.9876640155478,1059.7289658411992,964.4359,965.3881,964.6828,966.7653,966.5938,1012.4425,1009.03455,1011.75525,1013.80725,1012.03015
USDCLP,2025-09-30,2025-08-31,964.9400024414062,973.6188936836177,930.2709460004788,939.8452926128452,1007.3924947543901,1016.9668413667565,967.8200073242188,933.3308949256781,923.5537107940677,1002.3091197227594,1012.0863038543698,975.193,973.6532,975.9154,977.2528,975.95557,966.4193,963.78503,965.4497,965.59174,966.19714
USDCLP,2025-10-31,2025-08-31,942.02001953125,975.3619421105773,920.0915029954083,932.299193781013,1018.4246904401416,1030.6323812257463,967.8200073242188,919.0450368159925,905.21801041525,1016.594977832445,1030.4220042331874,988.51636,989.5351,989.1351,987.4527,988.9913,985.031,982.00745,982.4912,983.79114,983.8564
USDCLP,2025-11-30,2025-08-31,926.8800048828124,977.952531887657,911.8919882445751,926.4829106767864,1029.4221530985276,1044.0130755307387,967.8200073242188,908.0831123419925,891.1485326710872,1027.556902306445,1044.4914819773503,1006.161,1006.727,1007.8502,1007.23236,1008.5573,1005.2939,1004.414,1004.70685,1004.1033,1005.0818
USDCLP,2025-12-31,2025-08-31,899.9400024414062,980.3660124330244,905.2347848112355,921.8291670856104,1038.9028577804384,1055.4972400548133,967.8200073242188,898.8417825271374,879.2874142639166,1036.7982321213,1056.3526003845209,1001.12213,1001.33307,1001.32275,1003.21246,1002.44275,1004.8523,1004.8499,1004.5569,1005.1495,1005.9675
USDCLP,2026-01-31,2025-08-31,859.1599731445312,982.8165031843873,899.5618915645344,917.9505016679022,1047.6825047008724,1066.07111480424,967.8200073242188,890.700007517451,868.8375591706379,1044.9400071309865,1066.8024554777996,987.43506,988.8567,987.5202,988.15533,988.39307,993.93024,991.2835,992.2076,992.8349,992.3006
USDCLP,2026-02-28,2025-08-31,865.1699829101562,985.2592599778161,894.6131321606234,914.6343210098538,1055.8841989457785,1075.9053877950087,967.8200073242188,883.3392802662972,859.3901680226152,1052.3007343821403,1076.2498466258223,968.56995,966.71686,968.24646,968.8115,967.7658,981.3137,980.08307,980.53467,981.1016,981.06213
USDCLP,2026-03-31,2026-02-28,930.219970703125,864.078371269421,820.6160522104653,830.2156602539521,897.94108228489,907.5406903283767,865.1699829101562,830.8240029456108,821.0873948701832,899.5159628747017,909.2525709501293,867.1199,867.3156,867.09283,868.05945,866.6065,872.03516,872.3065,871.30066,870.15186,872.0979
USDCLP,2026-04-30,2026-02-28,904.469970703125,864.2766431559335,808.1155607300931,820.5199696585424,908.0333166533245,920.4377255817739,865.1699829101562,816.5974322313016,802.8277890395204,913.7425335890109,927.5121767807921,857.4724,857.2404,856.17163,856.2274,856.35706,862.538,863.742,861.87415,863.4231,863.7842
USDCLP,2026-05-31,2026-02-28,890.969970703125,864.2406305856069,796.9857814652894,811.8404925013738,916.6407686698401,931.4954797059245,865.1699829101562,805.6810005758209,788.8167006957948,924.6589652444916,941.5232651245177,855.71545,856.5998,855.2086,853.9223,854.60425,866.31757,865.83923,866.93805,866.90753,864.0831
USDCLP,2026-06-30,2026-02-28,921.760009765625,864.2471716300502,787.6106450256392,804.5375056521663,923.9568376079341,940.8836982344611,865.1699829101562,796.4780229810655,777.0048068302102,933.861942839247,953.3351589901023,870.96185,868.834,871.25946,870.9857,870.39465,878.9419,880.4061,879.41125,878.3614,879.2724
USDCLP,2026-07-31,2026-02-28,925.0499877929688,864.2459835653822,779.2367024914355,798.012869894319,930.4790972364453,949.2552646393289,865.1699829101562,788.3700369555869,766.5983194286573,941.9699288647256,963.7416463916552,886.2334,886.5435,885.52826,887.1371,888.63214,915.6985,913.5869,913.0047,915.08984,916.11755
USDCLP,2026-08-31,2026-02-28,931.510009765625,864.2461993562498,771.6213298807792,792.0795672987483,936.4128314137513,956.8710688317204,865.1699829101562,781.0398572811657,757.1901356709059,949.3001085391468,973.1498301494066,932.2966,930.76324,931.70105,931.0361,930.928,961.55145,962.1022,959.03015,961.02814,964.4197
