moneda,commodity,regimen,rezago,correlacion,p_valor,n_obs
BRL,Platino,2022 (guerra/inflacion),1,0.35817168963806606,2.9493504406247177e-09,259
BRL,Platino,2022 (guerra/inflacion),2,-0.013379484356931764,0.8306465850451807,258
BRL,Platino,2022 (guerra/inflacion),3,-0.026497463317203325,0.6724483537176175,257
NOK,Platino,2014-2016 (crash petroleo),-2,0.005189930003375517,0.8848621436817175,781
NOK,Platino,2014-2016 (crash petroleo),-1,0.034445212029143885,0.3360598496083426,782
NOK,Platino,2014-2016 (crash petroleo),0,0.12706435811017297,0.00036481651255489345,783
NOK,Platino,2014-2016 (crash petroleo),1,0.26289106738066714,7.922182111742387e-14,782
NOK,Platino,2014-2016 (crash petroleo),2,-0.009258652787251267,0.7961469032131991,781
NOK,Platino,2014-2016 (crash petroleo),3,0.006255717261008066,0.8615242489634932,780
NOK,Platino,2020 (shock COVID),-2,0.04180736725870685,0.5021129461763931,260
NOK,Platino,2020 (shock COVID),-1,-0.15687795918935182,0.011148472689494761,261
NOK,Platino,2020 (shock COVID),0,0.08727277372626577,0.15896303928764813,262
NOK,Platino,2020 (shock COVID),1,0.040106048920979936,0.5188736156905167,261
NOK,Platino,2020 (shock COVID),2,-0.06626713359753542,0.2870807712575686,260
NOK,Platino,2020 (shock COVID),3,0.24993248638193477,4.750655912528589e-05,259
NOK,Platino,2022 (guerra/inflacion),-2,-0.03521509512480381,0.5733897782128718,258
NOK,Platino,2022 (guerra/inflacion),-1,-0.07788014455802146,0.21159267978258953,259
NOK,Platino,2022 (guerra/inflacion),0,0.012314063857841373,0.8433509296313466,260
NOK,Platino,2022 (guerra/inflacion),1,0.46674719036604484,2.038002825712199e-15,259
NOK,Platino,2022 (guerra/inflacion),2,-0.02070860788478202,0.7406068532412914,258
NOK,Platino,2022 (guerra/inflacion),3,-0.050578302476602124,0.41943825829270215,257
NOK,Oro,2014-2016 (crash petroleo),-2,-0.018706396936326534,0.6016812110436293,781
NOK,Oro,2014-2016 (crash petroleo),-1,0.040939827394005,0.25283098215665994,782
NOK,Oro,2014-2016 (crash petroleo),0,0.06904506667975703,0.05345250849949104,783
NOK,Oro,2014-2016 (crash petroleo),1,0.17950702712468958,4.352663337497241e-07,782
NOK,Oro,2014-2016 (crash petroleo),2,0.012035843731287063,0.736997820959785,781
NOK,Oro,2014-2016 (crash petroleo),3,0.04352471524511278,0.22466941765767004,780
NOK,Oro,2020 (shock COVID),-2,0.19860560662377905,0.001285864102881135,260
NOK,Oro,2020 (shock COVID),-1,-0.029509128593879132,0.6351079880223878,261
NOK,Oro,2020 (shock COVID),0,-0.159775399585815,0.009584006001979745,262
NOK,Oro,2020 (shock COVID),1,0.07089195649224528,0.2537726487950614,261
NOK,Oro,2020 (shock COVID),2,-0.06555668658212355,0.292290704690462,260
NOK,Oro,2020 (shock COVID),3,0.23505436654176318,0.00013444154982014995,259
NOK,Oro,2022 (guerra/inflacion),-2,-0.010258894489132624,0.8697418410694524,258
NOK,Oro,2022 (guerra/inflacion),-1,0.019809589984995,0.7510203347963568,259
NOK,Oro,2022 (guerra/inflacion),0,0.05781348093503621,0.3531485368762231,260
NOK,Oro,2022 (guerra/inflacion),1,0.4059704744210097,1.0695730201487576e-11,259
NOK,Oro,2022 (guerra/inflacion),2,-0.03776214825342375,0.54596329001081,258
NOK,Oro,2022 (guerra/inflacion),3,-0.07409501899407979,0.23654336679115023,257
BRL,WTI (petroleo),2014-2016 (crash petroleo),-2,0.0377309498324504,0.2922816557941252,781
BRL,WTI (petroleo),2014-2016 (crash petroleo),-1,-0.04125099836132341,0.2492393314527141,782
BRL,WTI (petroleo),2014-2016 (crash petroleo),0,-0.014174740811493121,0.692086019593608,783
BRL,WTI (petroleo),2014-2016 (crash petroleo),1,0.25446151489877955,5.05986614661678e-13,782
