moneda,commodity,rezago,operable,correlacion,p_valor,n_obs,p_valor_fdr,sobrevive_fdr,supera_umbral_r,hallazgo_operable
NOK,Platino,-2,False,-0.0491182352497495,0.0012651050948832621,4305,0.005175429933613345,True,False,False
BRL,Soja,-1,False,0.04647581470060136,0.0023668803638836784,4276,0.009109912096593713,True,False,False
ZAR,Hierro,-1,False,0.04713925724453154,0.0024293098924249904,4135,0.009109912096593713,True,False,False
NOK,Oro,3,True,-0.04287903255871258,0.00489976791834737,4304,0.01763916450605053,True,False,False
NOK,Hierro,-1,False,0.036499101845598056,0.018819032008774134,4142,0.06397988628568578,False,False,False
ZAR,WTI (petroleo),-2,False,0.03571438004749333,0.01919396588570573,4299,0.06397988628568578,False,False,False
ZAR,Hierro,0,False,0.03541372517224058,0.02275374494860394,4136,0.07166457071581257,False,False,False
ZAR,Soja,-1,False,0.034645982291222385,0.02309191723065072,4300,0.07166457071581257,False,False,False
BRL,Platino,2,True,0.034547729047155876,0.023891809522730567,4275,0.0716754285681917,False,False,False
BRL,Oro,-1,False,0.034313495410447425,0.024845081499020493,4276,0.07213088177134983,False,False,False
BRL,WTI (petroleo),-1,False,0.03401458743385006,0.026131922810511164,4276,0.07349603290456265,False,False,False
BRL,Oro,2,True,0.030595899050139562,0.045462511105617595,4275,0.12398866665168436,False,False,False
ZAR,Oro,-1,False,0.029393068408294875,0.05394369834444205,4300,0.14196934297068672,False,False,False
BRL,Hierro,0,False,0.029889689290861107,0.055210300044155954,4115,0.14196934297068672,False,False,False
NOK,WTI (petroleo),-1,False,-0.024809625125303356,0.10356975676851779,4306,0.25892439192129446,False,False,False
ZAR,Oro,3,True,-0.02436025667755823,0.11030812632066302,4298,0.26831706402323435,False,False,False
NOK,Soja,-1,False,0.02252766830666691,0.13940064819227788,4306,0.3267234606079318,False,False,False
ZAR,Hierro,-2,False,0.02286580995495231,0.1415801662634371,4134,0.3267234606079318,False,False,False
ZAR,WTI (petroleo),3,True,0.021278321580662226,0.16309411872071453,4298,0.3669617671216077,False,False,False
NOK,Platino,1,True,-0.020606236316633803,0.17639622837626612,4306,0.37569361182611755,False,False,False
NOK,Hierro,0,False,0.020670840277536916,0.1834382752536485,4143,0.37569361182611755,False,False,False
BRL,Soja,3,True,-0.02032837200603181,0.18393611273640345,4274,0.37569361182611755,False,False,False
BRL,Hierro,-2,False,0.020639848605493546,0.1856933099630625,4113,0.37569361182611755,False,False,False
ZAR,WTI (petroleo),2,True,0.019991730119800016,0.19001229279007983,4299,0.37569361182611755,False,False,False
NOK,Soja,3,True,-0.019889880628155575,0.1920211793777934,4304,0.37569361182611755,False,False,False
ZAR,Soja,1,True,0.01969442385577007,0.19663451313844704,4300,0.3765341740948986,False,False,False
ZAR,Oro,-2,False,0.019395206105325784,0.20357550352056872,4299,0.38170406910106636,False,False,False
BRL,Oro,-2,False,0.018672304949271593,0.22223381835191122,4275,0.40818456431983696,False,False,False
ZAR,Soja,3,True,0.01812480255697676,0.2348340781902496,4298,0.42014287912499443,False,False,False
BRL,WTI (petroleo),2,True,0.017974321358799283,0.24000472212066537,4275,0.42014287912499443,False,False,False
NOK,Hierro,-2,False,0.018156770731556318,0.24274921904999675,4141,0.42014287912499443,False,False,False
ZAR,Hierro,3,True,-0.017289824334994784,0.2664468997167949,4133,0.4524569995190857,False,False,False
ZAR,Platino,1,True,-0.016425619633576152,0.28154308398700195,4300,0.46831007038974554,False,False,False
NOK,Oro,1,True,-0.016256559592158347,0.28618948746040007,4306,0.46831007038974554,False,False,False
BRL,WTI (petroleo),-2,False,0.015789830305977855,0.3019987862629165,4275,0.48366883310064557,False,False,False
BRL,Oro,1,True,0.015647431217767266,0.3063235942970755,4276,0.48366883310064557,False,False,False
ZAR,Oro,2,True,0.014188370419938647,0.35233911020533704,4299,0.5467331020427644,False,False,False
NOK,Hierro,3,True,-0.014121047794162084,0.36368851747131414,4140,0.5547790944477673,False,False,False
ZAR,Soja,2,True,0.013447495881522772,0.37805148323579546,4299,0.5562182600812318,False,False,False
ZAR,Platino,3,True,0.013382546709788142,0.38041481144442657,4298,0.5562182600812318,False,False,False
NOK,Oro,-2,False,-0.013210540758058421,0.386181664042043,4305,0.5562182600812318,False,False,False
BRL,Platino,3,True,-0.013170098571133815,0.38935278205686225,4274,0.5562182600812318,False,False,False
BRL,Soja,-2,False,0.011569760126439763,0.4494841433538128,4275,0.6301317826340571,False,False,False
NOK,Soja,2,True,0.011387165439962104,0.455095176346819,4305,0.6301317826340571,False,False,False
NOK,Hierro,1,True,0.010783385632940522,0.4878002157023408,4142,0.6649473474763197,False,False,False
ZAR,Oro,1,True,-0.010408515720514478,0.49501635867681576,4300,0.6649473474763197,False,False,False
ZAR,Hierro,1,True,-0.00995053705165981,0.5223797675726692,4135,0.6913849864932388,False,False,False
BRL,WTI (petroleo),3,True,0.008991457811473404,0.5567578356248415,4274,0.7237631302176566,False,False,False
ZAR,WTI (petroleo),1,True,-0.008684229294095238,0.5691470248833153,4300,0.7237631302176566,False,False,False
ZAR,WTI (petroleo),-1,False,0.00855314018039097,0.5749924534813945,4300,0.7237631302176566,False,False,False
NOK,Hierro,2,True,-0.008310625837768182,0.5928977435904371,4141,0.7237631302176566,False,False,False
BRL,Platino,1,True,0.008087205681123534,0.5970235984686771,4276,0.7237631302176566,False,False,False
BRL,Oro,3,True,-0.008041152911624803,0.5991996364063698,4274,0.7237631302176566,False,False,False
ZAR,Soja,-2,False,-0.007931446184644685,0.6031359418480472,4299,0.7237631302176566,False,False,False
BRL,Soja,2,True,0.007709301014160955,0.6143168630857658,4275,0.7274804957594595,False,False,False
ZAR,Platino,-2,False,0.007181342818125325,0.6378360420661446,4299,0.7455226465708185,False,False,False
BRL,Soja,1,True,-0.006801935409722358,0.6565645040300645,4276,0.7575744277269975,False,False,False
ZAR,Platino,2,True,0.006267010493354783,0.6812249775533555,4299,0.7760790883519241,False,False,False
NOK,Oro,-1,False,-0.005209224548553165,0.7325518287951731,4306,0.8241208073945698,False,False,False
NOK,WTI (petroleo),3,True,0.004552371690225425,0.7652661852790875,4304,0.8502957614212083,False,False,False
ZAR,Hierro,2,True,0.004130573757190713,0.7906235617533347,4134,0.8594516183394164,False,False,False
BRL,WTI (petroleo),1,True,0.003996968614206868,0.7938681634721255,4276,0.8594516183394164,False,False,False
NOK,WTI (petroleo),-2,False,0.00381986944674101,0.8021548437834554,4305,0.8594516183394164,False,False,False
BRL,Hierro,3,True,0.002197426250377922,0.8879749967253652,4112,0.9402088200621513,False,False,False
BRL,Hierro,2,True,0.001404778460538737,0.9282356727864016,4113,0.9643395573720303,False,False,False
NOK,Soja,1,True,-0.0012969848891715853,0.9321949054596292,4306,0.9643395573720303,False,False,False
BRL,Platino,-2,False,-0.0009437300826988659,0.9508126263131496,4275,0.972422004183903,False,False,False
BRL,Hierro,1,True,-0.00022655373776270623,0.9884096600800293,4114,0.9978714391361102,False,False,False
NOK,Soja,-2,False,4.0671115619517504e-05,0.9978714391361102,4305,0.9978714391361102,False,False,False
