ds,Original: carry + momentum (81),NUEVA (a): carry completo c/ trailing pata larga + momentum baja vol
2021-06-30,-0.006485774708608814,-0.013402148036834266
2021-07-30,-0.007444058278873836,-0.005514000590266268
2021-08-31,0.004413569191740388,-0.004251098958265339
2021-09-30,0.005577706262698767,0.007551614317447332
2021-10-29,-0.01729045476568781,-0.00653064441048527
2021-11-30,0.01553143441405356,0.013429606174351329
2021-12-30,0.0075069468643866955,0.010435984316117992
2022-01-31,0.023089454213512748,0.024914178233255882
2022-02-28,0.001667036566908487,0.00533546112855042
2022-03-31,0.03493961537852774,0.0220663627447332
2022-04-29,0.0009124784543284508,0.02437209500992445
2022-05-31,0.004988657112764791,-0.00016933479080708783
2022-06-30,-0.010294381956240953,0.006520243086321469
2022-07-29,0.008494538447449605,-0.009713218820567172
2022-08-31,0.026248348830785792,0.029076294701006877
2022-09-30,0.020699600858738617,0.016574070508951586
2022-10-31,0.01259788233519709,0.012324208421312216
2022-11-30,-0.02891460500265194,-0.030274536719004635
2022-12-30,-0.011155438139844527,-0.014969969311502946
2023-01-31,0.025172356968215168,0.022829592685905814
2023-02-28,-0.00913834644810456,-0.012754997941812191
2023-03-31,0.015902530290983093,0.013781517162414863
2023-04-28,0.0004895591732494481,0.003353044556583591
2023-05-31,-0.002972997996167554,-6.899769040148036e-05
2023-06-30,0.019206172321754866,0.02952905335432124
2023-07-31,-0.005693689597868272,0.006723685600891565
2023-08-31,0.004729066198716233,-0.0031180929095749503
2023-09-29,-0.00887695750977753,-0.007652586185821181
2023-10-31,0.0004381521575264109,-0.012848828288301351
2023-11-30,-0.01779766714906715,-0.021835640162307095
2023-12-29,0.0037687604392353854,-0.0051313797572757145
2024-01-31,-0.0003696645032402873,-0.0017487853317379998
2024-02-29,0.024758174252526084,0.022684719585903367
2024-03-29,0.011466585744917152,0.017200479879629072
2024-04-30,0.005763373418173671,-0.005732399103541472
2024-05-31,0.0071439515973121155,0.008774819884439025
2024-06-28,-0.016140349870787007,-0.008619989518251176
2024-07-31,-0.020959607970253685,-0.019185613054730325
2024-08-30,-0.032649258725940426,-0.03521628575361649
2024-09-30,0.010137722739139625,0.009557366428575912
2024-10-31,-0.0272085048877573,-0.024236447022638573
2024-11-29,-0.014198338366655582,-0.019716473815156812
2024-12-31,0.02549142002828887,0.028720353608131445
