ds,y,y_next,nhits_h1,nhits_h2,nhits_h3,vol_garch,macd,rsi,precio_min_ventana,precio_max_ventana,copper_ret_1d,copper_mom_5d,dias_desde_refit
2022-05-23,836.0,829.97998046875,861.51514,854.3955,858.53143,0.008928880188234102,-4.573130918907383,33.78731370126019,777.510009765625,868.260009765625,0.015414272906901085,0.03598237321630625,4
2022-05-24,829.97998046875,829.8599853515625,854.3955,858.53143,854.97565,0.008849013678465882,-5.327235361327521,33.66825805691093,777.510009765625,868.260009765625,-0.005073188864434374,0.02028540269822681,5
2022-05-25,829.8599853515625,831.5999755859375,823.6265,833.14935,830.8515,0.00855917187795734,-5.615699503709923,34.51503383674749,777.510009765625,868.260009765625,-0.011275925634071683,0.022716352594954314,1
2022-05-26,831.5999755859375,823.3200073242188,833.14935,830.8515,831.0172,0.00829413160556052,-5.465688324992315,27.717020992786104,777.510009765625,868.260009765625,-0.005157028728977165,-0.007001104793343108,2
2022-05-27,823.3200073242188,826.0,830.8515,831.0172,831.71436,0.008451614409031949,-5.675706077040981,25.814859491353417,777.510009765625,868.260009765625,0.011450010894338128,0.005372521081748666,3
2022-05-30,826.0,829.989990234375,831.0172,831.71436,837.99304,0.00821445162366352,-5.38799832558304,17.79938164811982,777.510009765625,868.260009765625,0.0,-0.010005738498215714,4
2022-05-31,829.989990234375,823.7100219726562,831.71436,837.99304,841.06854,0.008037912113141608,-4.70752666495831,23.14617641278261,777.510009765625,868.260009765625,-0.002093226615656373,-0.007051192941729739,5
2022-06-01,823.7100219726562,823.1099853515625,834.8917,835.7515,839.1251,0.008036509899785032,-4.461224997265972,22.62483553689657,777.510009765625,868.260009765625,0.008115951194897815,0.012391857356007398,1
2022-06-02,823.1099853515625,812.72998046875,835.7515,839.1251,835.3556,0.007778570741036621,-4.127316208157492,18.30238629159078,777.510009765625,868.260009765625,0.05043842146787454,0.07027021817512688,2
2022-06-03,812.72998046875,811.3099975585938,839.1251,835.3556,825.2921,0.008240846087221304,-4.370728761225573,16.990849418606643,777.510009765625,868.260009765625,-0.01694109942939782,0.04031135339993543,3
2022-06-06,811.3099975585938,822.239990234375,835.3556,825.2921,825.87354,0.007988377917173209,-4.38146561374079,17.281087773409496,777.510009765625,868.260009765625,-0.008523121594769303,0.031482332097146265,4
2022-06-07,822.239990234375,824.5,825.2921,825.87354,823.3048,0.008459034392453145,-3.447670164763318,31.008033024656925,777.510009765625,868.260009765625,0.0,0.03364371971612258,5
2022-06-08,824.5,821.25,818.5249,818.2648,809.7641,0.00821041334300275,-2.5162513852687267,29.617435667395327,777.510009765625,868.260009765625,0.00427064122011487,0.029676671363824778,1
2022-06-09,821.25,826.0,818.2648,809.7641,813.2333,0.008016200254695786,-1.9810496726422988,36.61016598476189,777.510009765625,868.260009765625,-0.015710969258667343,-0.03623187647048353,2
2022-06-10,826.0,844.1300048828125,809.7641,813.2333,811.4344,0.007891229570103814,-1.2071887762129672,42.025512131111796,777.510009765625,868.260009765625,-0.020253815503193908,-0.03941928422135979,3
2022-06-13,844.1300048828125,862.4600219726562,813.2333,811.4344,810.35205,0.009466519331308326,0.5323240869920758,59.45731614785517,777.510009765625,868.260009765625,-0.019842227404011686,-0.05023089466661978,4
2022-06-14,862.4600219726562,868.5399780273438,811.4344,810.35205,811.57477,0.010706088018949471,2.7974517940021766,67.52314081201334,777.510009765625,868.260009765625,-0.013129773188470176,-0.06261963892486455,5
2022-06-15,868.5399780273438,856.52001953125,862.34033,860.7627,862.2704,0.010499277196818889,4.485136729517926,68.97084591055986,777.510009765625,868.5399780273438,0.0014407595155047006,-0.06526856461798695,1
2022-06-16,856.52001953125,866.5999755859375,860.7627,862.2704,864.91656,0.010799079448342788,4.557103693912854,66.41940666050479,777.510009765625,868.5399780273438,-0.013406814849765658,-0.06311231584894181,2
2022-06-17,866.5999755859375,876.2999877929688,862.2704,864.91656,866.29376,0.010860814408076349,5.012575664549891,68.7096872183801,777.510009765625,868.5399780273438,-0.02324972573064061,-0.0659149469320502,3
2022-06-20,876.2999877929688,883.0999755859375,864.91656,866.29376,869.51166,0.010877853007149337,5.648872747421585,70.27407326255936,778.0800170898438,876.2999877929688,0.0,-0.04719551545742972,4
