estrategia,retorno_total_%,max_drawdown_%,sharpe,se_sharpe,ic95_bajo,ic95_alto,n_obs,sharpe_bruto,ic95_bruto,retorno_bruto_%,operaciones,apalancamiento_mediano,breakeven_spread_%,spread_%,n_decisiones,exp,par,N,h,coincidencia_con_cobre_%,sharpe_min_semillas,sharpe_max_semillas,n_semillas
PPO seed=42,-9.65625749763811,-10.726907734052183,-1.4032701985476628,0.9200890667939562,-2.6642734771214687,1.3048765086025198,150.0,-1.1819192023802219,"[-2.56, 1.30]",-6.995797500078272,4.0,4.743840364630674,-0.3749838507912806,0.15,150.0,multidia,clp,2,1,75.0,,,
PPO seed=123,4.3646230061322955,0.0,1.2818087213720806,0.9194981123746904,0.919585550067321,2.0536534272518403,150.0,1.2879387786221714,"[0.92, 2.06]",5.185746645652745,2.0,2.674098805209859,0.9576826020411577,0.15,150.0,multidia,clp,2,1,50.0,,,
PPO (resumen semillas),-1.8537449127491745,,-0.03856095184588596,,,,,0.20667194298296646,,,,,,0.15,,multidia,clp,2,1,,-1.4032701985476628,1.2818087213720806,3.0
Umbral cobre,-24.253607640005047,-38.309726379207795,-0.5320831566167638,0.9170298295503719,-2.0568414155047745,0.7943484701515608,150.0,1.6221460371791283,"[0.23, 2.88]",78.6456167791941,147.0,3.8090669422272114,0.11301555192529131,0.15,150.0,multidia,clp,2,1,,,,
Umbral simple (forecast),-14.22490371650078,-24.657584506569343,-0.4645202479157726,0.9169074454576894,-2.183266998080964,1.2745814062284804,150.0,0.8569601243977154,"[-0.77, 2.52]",21.824583619676474,65.0,3.4381359434240393,0.09700457602182366,0.15,150.0,multidia,clp,2,1,,,,
"Control: direccion al azar (300 sorteos, bruto)",,,,,,,,1.2291026395402391,,,,,,0.0,150.0,multidia,clp,2,1,,-0.2168542599446468,2.5870846209287417,
PPO seed=7,-14.020121475807812,-26.460017411763882,-0.32784993117148176,0.9168082830596841,-1.8804423423462056,1.1155190352558715,100.0,1.2793326854405092,"[-0.12, 2.64]",45.57450622261048,90.0,3.7542567169164025,0.11959672284667464,0.15,100.0,multidia,clp,3,1,63.33333333333333,,,
PPO seed=42,-31.62203203295235,-36.82354766237523,-1.1624531388183765,0.9201937222670797,-2.3569885976633334,-0.08964913435708417,100.0,0.5619767413012682,"[-0.61, 1.68]",13.902569972660928,87.0,3.7514049276394634,0.049025220661427435,0.15,100.0,multidia,clp,3,1,70.11494252873564,,,
PPO seed=123,-20.377722289766897,-32.660048059874214,-0.5941900564459104,0.9174776886202171,-1.781569926591704,0.46443869330668197,100.0,1.089616892309323,"[-0.02, 2.15]",35.18889022724214,92.0,3.6833374404058126,0.09714320667657501,0.15,100.0,multidia,clp,3,1,64.13043478260869,,,
PPO (resumen semillas),-22.006625266175686,,-0.6948310421452563,,,,,0.9769754396837002,,,,,,0.15,,multidia,clp,3,1,,-1.1624531388183765,-0.32784993117148176,3.0
Umbral cobre,25.722538860456766,-33.290571842517934,0.7271511860474192,0.9179562866699321,-1.7276876868107958,2.5768022747495753,100.0,2.112519249028832,"[0.08, 3.75]",121.02820220184536,98.0,3.7223391954057967,0.2280805933978189,0.15,100.0,multidia,clp,3,1,,,,
Umbral simple (forecast),1.8266893575178633,-18.804279648141176,0.17364068797666252,0.9165973791379751,-1.7731974750448636,1.723864461308528,100.0,1.1864405061773966,"[-0.49, 2.55]",26.55082692653434,40.0,3.4358267693059337,0.17556452585869833,0.15,100.0,multidia,clp,3,1,,,,
"Control: direccion al azar (300 sorteos, bruto)",,,,,,,,1.1156445710103795,,,,,,0.0,100.0,multidia,clp,3,1,,-0.3676138669454721,2.3776625595078227,
PPO seed=7,23.84606073064144,-22.839574586301957,0.7430398155028819,0.9190217088813453,-1.0636647696854442,2.307827767870027,60.0,1.6978901391957122,"[0.07, 3.19]",74.26765775588377,60.0,3.682657752748733,0.2659648427763869,0.15,60.0,multidia,clp,5,1,53.333333333333336,,,
PPO seed=42,29.311267333362334,-22.839574586301946,0.8686357563661525,0.9199389838337007,-0.9295025430778913,2.418408499182742,60.0,1.8102801612248256,"[0.17, 3.28]",80.62031855622101,58.0,3.705656607898484,0.2874168933104369,0.15,60.0,multidia,clp,5,1,53.44827586206896,,,
PPO seed=123,23.84606073064144,-22.839574586301957,0.7430398155028819,0.9190217088813453,-1.0636647696854442,2.307827767870027,60.0,1.6978901391957122,"[0.07, 3.19]",74.26765775588377,60.0,3.682657752748733,0.2659648427763869,0.15,60.0,multidia,clp,5,1,53.333333333333336,,,
PPO (resumen semillas),25.66779626488174,,0.7849051291239721,,,,,1.7353534798720833,,,,,,0.15,,multidia,clp,5,1,,0.7430398155028819,0.8686357563661525,3.0
Umbral cobre,-14.402310785510464,-34.54063168023781,-0.3994494432564533,0.9172402441459829,-3.281028427302233,1.5949255678936627,60.0,0.6867180840904868,"[-1.79, 2.53]",18.3574961462603,57.0,3.672042042325336,0.09477121011045081,0.15,60.0,multidia,clp,5,1,,,,
Umbral simple (forecast),1.0062726121689458,-20.902856438730367,0.14122503676468479,0.9166058063630245,-1.9360300023537902,1.5792328285329014,60.0,0.7844416385579069,"[-1.02, 2.01]",18.54331780798435,29.0,3.5753228071208025,0.182614530322688,0.15,60.0,multidia,clp,5,1,,,,
"Control: direccion al azar (300 sorteos, bruto)",,,,,,,,0.8076741380381562,,,,,,0.0,60.0,multidia,clp,5,1,,-0.5699742229550339,1.9919225061049846,
PPO seed=7,-46.77824711566825,-56.44587888034038,-1.668830506304573,0.9240806113612945,-4.1100926635695965,0.26183901066089804,100.0,-0.00433996561715343,"[-2.11, 1.77]",-4.879008577421917,100.0,3.751684199241085,-0.00038777758837332886,0.15,100.0,multidia,clp_h3,3,1,48.0,,,
PPO seed=42,-29.55756259975414,-49.48429352992137,-0.805671991593082,0.9182840174968678,-3.3593525807509015,1.3164177361327805,100.0,0.7788116421648671,"[-1.50, 2.81]",25.688016813953098,100.0,3.751684199241085,0.07347111527342785,0.15,100.0,multidia,clp_h3,3,1,49.0,,,
PPO seed=123,-25.387529131990295,-39.128824799335504,-0.65257239226491,0.9176760068977131,-2.334726538988474,0.8756077782051994,100.0,0.9368964220520976,"[-0.57, 2.37]",33.049503007669244,100.0,3.751684199241085,0.08825430650261265,0.15,100.0,multidia,clp_h3,3,1,55.00000000000001,,,
PPO (resumen semillas),-33.90777961580422,,-1.042358296720855,,,,,0.5704560328666037,,,,,,0.15,,multidia,clp_h3,3,1,,-1.668830506304573,-0.65257239226491,3.0
Umbral cobre,-30.658481951361992,-37.77771328757422,-0.8897239157923799,0.9186718909554513,-2.633347339652994,0.6413930025747192,100.0,0.6667021104500994,"[-0.88, 2.07]",20.224344073476153,95.0,3.755240150692861,0.06421063218325282,0.15,100.0,multidia,clp_h3,3,1,,,,
Umbral simple (forecast),11.643351355915366,-12.613504035713275,0.5489548103134894,0.9173367739924262,-1.5475125536199692,2.1638296759491897,100.0,1.311479677438945,"[-0.62, 2.77]",35.05925992407703,34.0,3.4938358404053624,0.256067508477696,0.15,100.0,multidia,clp_h3,3,1,,,,
"Control: direccion al azar (300 sorteos, bruto)",,,,,,,,1.2976879087051822,,,,,,0.0,100.0,multidia,clp_h3,3,1,,-0.2754527703699439,2.5621242180189188,
PPO seed=42,13.474146270065578,-7.207293747485721,0.8404711629981056,0.9579456113975284,-0.6942367775369218,2.0604228931491253,20.0,1.532529038883163,"[0.20, 2.72]",27.16281523676067,20.0,3.867609888502377,0.3312218058236757,0.15,20.0,multidia,clp_h5,14,1,60.0,,,
PPO (resumen semillas),13.474146270065578,,0.8404711629981056,,,,,1.532529038883163,,,,,,0.15,,multidia,clp_h5,14,1,,0.8404711629981056,0.8404711629981056,1.0
Umbral cobre,9.41573017672832,-9.931151725967736,0.6802146975158251,0.9547603368740836,-0.0722649345980098,1.6084919654952017,20.0,1.4865928247001448,"[0.72, 2.46]",22.681988695005174,20.0,3.867609888502377,0.2802659161374211,0.15,20.0,multidia,clp_h5,14,1,,,,
Umbral simple (forecast),0.393113943705381,-3.8470061805074507,0.08505984798693456,0.948778625098336,-0.997056397509367,1.0339911325194968,20.0,0.35023731982891276,"[-0.97, 1.24]",2.52724369465791,4.0,3.1976617533176745,0.1981276153183274,0.15,20.0,multidia,clp_h5,14,1,,,,
"Control: direccion al azar (300 sorteos, bruto)",,,,,,,,0.6250678847946449,,,,,,0.0,20.0,multidia,clp_h5,14,1,,-0.8985013989064536,2.167716963153711,
PPO seed=42,9.917636541929165,-8.221956443671774,0.6408327072325762,0.9540789610752748,-0.8763237066968477,1.7047587626476028,20.0,1.32319142787092,"[0.06, 2.34]",23.194436772072912,20.0,3.867609888502377,0.28978875720867525,0.15,20.0,multidia,clp_h5,14,2,60.0,,,
PPO (resumen semillas),9.917636541929165,,0.6408327072325762,,,,,1.32319142787092,,,,,,0.15,,multidia,clp_h5,14,2,,0.6408327072325762,0.6408327072325762,1.0
