ds,estrategia,posicion,notional,razon_cierre,pnl,capital
2025-09-08,PPO baseline (TP=h1 siempre),-1.0,438.1208661994228,take_profit,1.1526995815114376,113.3364500312516
2025-09-11,PPO baseline (TP=h1 siempre),-1.0,472.7779832822967,trailing_stop,7.297019794008145,120.63346982525975
2025-09-16,PPO baseline (TP=h1 siempre),-1.0,431.30359596837036,cierre_periodo,-2.0250844608922125,118.60838536436754
2025-09-19,PPO baseline (TP=h1 siempre),-1.0,458.0058070423974,take_profit,2.3441027293744385,120.95248809374198
2025-09-24,PPO baseline (TP=h1 siempre),-1.0,493.4525434208728,stop_loss,-3.6285746428122425,117.32391345092974
2025-09-29,PPO baseline (TP=h1 siempre),-1.0,505.1611112550554,cierre_periodo,-0.021047560226794052,117.30286589070295
2025-10-02,PPO baseline (TP=h1 siempre),-1.0,537.8592365710679,trailing_stop,3.3719806835985353,120.67484657430148
2025-10-07,PPO baseline (TP=h1 siempre),-1.0,445.6852085252359,cierre_periodo,5.085293487392526,125.76014006169402
2025-10-10,PPO baseline (TP=h1 siempre),1.0,488.0300212306701,take_profit,4.86474102558478,130.6248810872788
2025-10-15,PPO baseline (TP=h1 siempre),1.0,517.4918899752324,cierre_periodo,-0.1076891423901789,130.51719194488862
2025-10-20,PPO baseline (TP=h1 siempre),-1.0,549.8153044855269,take_profit,3.735584334332728,134.25277627922134
2025-10-23,PPO baseline (TP=h1 siempre),-1.0,576.6020891205712,trailing_stop,7.463438672864391,141.71621495208572
2025-10-28,PPO baseline (TP=h1 siempre),-1.0,520.3878993832732,cierre_periodo,-1.1737629291198395,140.54245202296588
2025-10-31,PPO baseline (TP=h1 siempre),1.0,568.9709284653366,stop_loss,-4.500759024921639,136.04169299804423
2025-11-05,PPO baseline (TP=h1 siempre),1.0,489.96079085594494,stop_loss,-4.081250789941346,131.96044220810288
2025-11-10,PPO baseline (TP=h1 siempre),-1.0,475.0375846026449,cierre_periodo,0.005439532293447263,131.96588174039633
2025-11-13,PPO baseline (TP=h1 siempre),-1.0,495.8101368141476,cierre_periodo,3.2804505358414238,135.24633227623775
2025-11-18,PPO baseline (TP=h1 siempre),1.0,507.36375734624255,cierre_periodo,3.4717382207133816,138.71807049695113
2025-11-21,PPO baseline (TP=h1 siempre),1.0,549.235645338745,cierre_periodo,2.840210765823798,141.55828126277493
2025-11-26,PPO baseline (TP=h1 siempre),-1.0,574.0596044659567,cierre_periodo,4.250392960645034,145.80867422341996
2025-12-01,PPO baseline (TP=h1 siempre),-1.0,611.6444540594223,cierre_periodo,6.013771888300144,151.8224461117201
2025-12-04,PPO baseline (TP=h1 siempre),-1.0,663.9663090446923,cierre_periodo,-3.065175707863044,148.75727040385706
2025-12-09,PPO baseline (TP=h1 siempre),-1.0,705.4559779417821,cierre_periodo,6.482480096536317,155.23975050039337
2025-12-12,PPO baseline (TP=h1 siempre),1.0,717.8602317215075,trailing_stop,-4.95366743889993,150.28608306149343
2026-01-07,PPO baseline (TP=h1 siempre),1.0,628.9446113250226,cierre_periodo,0.8447681601511241,151.13085122164455
2026-01-12,PPO baseline (TP=h1 siempre),-1.0,694.1747055108583,cierre_periodo,9.965071341928171,161.0959225635727
2026-01-15,PPO baseline (TP=h1 siempre),-1.0,707.305220466242,cierre_periodo,-4.775037326287875,156.32088523728484
2026-01-20,PPO baseline (TP=h1 siempre),1.0,746.3003066184333,stop_loss,-5.062776710427753,151.2581085268571
2026-01-23,PPO baseline (TP=h1 siempre),-1.0,688.6371333445861,cierre_periodo,8.74529639282583,160.0034049196829
2026-01-28,PPO baseline (TP=h1 siempre),-1.0,750.3328416639317,trailing_stop,-4.2818715965024525,155.72153332318047
2026-02-02,PPO baseline (TP=h1 siempre),1.0,743.3816555579041,stop_loss,-5.043336827474384,150.6781964957061
2026-02-05,PPO baseline (TP=h1 siempre),1.0,760.1834579662861,take_profit,2.92051423215499,153.5987107278611
2026-02-10,PPO baseline (TP=h1 siempre),1.0,694.6531061422766,cierre_periodo,3.455450570988925,157.05416129885
2026-02-13,PPO baseline (TP=h1 siempre),-1.0,770.7471422148262,stop_loss,-5.096998410072844,151.95716288877716
2026-02-18,PPO baseline (TP=h1 siempre),-1.0,775.9423138119731,take_profit,3.4222781339646637,155.37944102274182
2026-02-23,PPO baseline (TP=h1 siempre),-1.0,835.3287140870847,cierre_periodo,9.516031967868237,164.89547299061005
2026-02-26,PPO baseline (TP=h1 siempre),-1.0,893.6219121057222,stop_loss,-4.946864189718442,159.9486088008916
