ds,y,y_next,vol_realizada,posicion_cruda,pos,ventana,seed
2025-11-18,0.0010829894898989,0.0010730764822425,0.0079532407259698,-0.20871876,-0.2479752756195352,2,123
2025-11-19,0.0010730764822425,0.0010730189247294,0.0082965236350352,-0.20173171,-0.22975714643524503,2,123
2025-11-20,0.0010730189247294,0.0010750953864995,0.0082996491608771,-0.12982751,-0.14780802744164684,2,123
2025-11-21,0.0010750953864995,0.0010654506240306,0.0082896654414487,-0.025139742,-0.028655950356868885,2,123
2025-11-24,0.0010654506240306,0.0010631059538475,0.0076421900852244,-0.05592681,-0.06915016768791073,2,123
2025-11-25,0.0010631059538475,0.0010695644482104,0.0073496647245227,-4.2866915e-05,-5.511194108391098e-05,2,123
2025-11-26,0.0010695644482104,0.0010802635700693,0.0074505012102273,0.21680419,0.2749623197835682,2,123
2025-11-27,0.0010802635700693,0.0010788883077981,0.0077500666719677,0.33832872,0.41250045064312024,2,123
2025-11-28,0.0010788883077981,0.0010780857424279,0.0077450377495881,0.35007152,0.4270947709153633,2,123
2025-12-01,0.0010780857424279,0.0010760787831009,0.0070832352737206,-0.06576841,-0.08773577362772654,2,123
2025-12-02,0.0010760787831009,0.0010828839107337,0.0066614246264272,0.06938406,0.09842005773386639,2,123
2025-12-03,0.0010828839107337,0.001088790883237,0.006440452365981,0.11679295,0.1713528219448149,2,123
2025-12-04,0.001088790883237,0.0010902391126475,0.0064966632002248,-0.2905472,-0.42258818284909416,2,123
2025-12-05,0.0010902391126475,0.001085328523194,0.0064965470524936,0.17617598,0.25624484152191596,2,123
2025-12-08,0.001085328523194,0.0010837876181101,0.0060217093824209,0.044086013,0.06917864115913376,2,123
2025-12-09,0.0010837876181101,0.0010802869327545,0.0057085646528065,0.06135577,0.10155925330770314,2,123
2025-12-10,0.0010802869327545,0.0010830363808075,0.0057708843759892,0.28723797,0.4703167975735753,2,123
2025-12-11,0.0010830363808075,0.00109439124487,0.005618474298842,-0.27200568,-0.45745732955410895,2,123
2025-12-12,0.00109439124487,0.0010992030777686,0.0060540672790533,-0.33464417,-0.5223084349458056,2,123
2025-12-15,0.0010992030777686,0.0010942954174175,0.0055284789858144,-0.1538388,-0.2629367106770853,2,123
2025-12-16,0.0010942954174175,0.0010947626525302,0.0054716989255972,-0.3456893,-0.596973071764434,2,123
2025-12-17,0.0010947626525302,0.0010900133184671,0.0049728317010441,0.27119127,0.51530331796848,2,123
2025-12-18,0.0010900133184671,0.0010981287708799,0.005111498341759,0.4035536,0.7460089053580929,2,123
2025-12-19,0.0010981287708799,0.0010987320455152,0.0053191981244264,-0.18582241,-0.3300980348784336,2,123
2025-12-22,0.0010987320455152,0.0010996866188462,0.00476743003973,-0.37200192,-0.737312927440278,2,123
2025-12-23,0.0010996866188462,0.0011021469734246,0.0046894102254871,0.17469427,0.35200710442554123,2,123
2025-12-24,0.0011021469734246,0.0011063783006153,0.0045787295245333,0.13458295,0.2777384811015305,2,123
2025-12-26,0.0011063783006153,0.0011044841760934,0.0041703012904675,-0.11606998,-0.26299257877516075,2,123
2025-12-29,0.0011044841760934,0.0010937927262783,0.0041851264588453,-0.4065816,-0.9179735369030081,2,123
2025-12-31,0.0011111851871093,0.0011115557153055,0.0058409659319591,-0.33668375,-0.5446637735593705,3,123
2026-01-02,0.0011115557153055,0.001103679670987,0.0057398693962797,-0.030551067,-0.0502939078509531,3,123
2026-01-05,0.001103679670987,0.0011067823383911,0.0059465539169918,0.13354547,0.21220460249828968,3,123
2026-01-06,0.0011067823383911,0.0011192818779287,0.0059642166338857,-0.0019976788,-0.003164923623705175,3,123
2026-01-07,0.0011192818779287,0.0011175181820085,0.0062639322872898,-0.5293166,-0.7984715747108367,3,123
2026-01-08,0.0011175181820085,0.0011154614227634,0.0062679148935032,0.110072345,0.16593810064595638,3,123
2026-01-09,0.0011154614227634,0.001117780528869,0.0062196981976883,0.05690566,0.08645242615095826,3,123
