exp,par,N,h,estrategia,spread_ida_vuelta_%,sharpe,retorno_total_%
multidia,clp_h3,3,1,PPO seed=7,0.05,-0.562429798596632,-21.587478598634867
multidia,clp_h3,3,1,PPO seed=7,0.1,-1.1173491244403297,-35.38650006921993
multidia,clp_h3,3,1,PPO seed=7,0.15,-1.668830506304573,-46.77824711566825
multidia,clp_h3,3,1,PPO seed=7,0.2,-2.216616764818308,-56.17898802303216
multidia,clp_h3,3,1,PPO seed=7,0.3,-3.3001290441088633,-70.327930662904
multidia,clp_h3,3,1,Umbral cobre,0.0,0.6667021104500994,20.224344073476153
multidia,clp_h3,3,1,Umbral cobre,0.02,0.45905159148404606,11.740347799235362
multidia,clp_h3,3,1,Umbral cobre,0.05,0.1475429814390295,0.11243283941992921
multidia,clp_h3,3,1,Umbral cobre,0.1,-0.37144231171148595,-16.66606507406768
multidia,clp_h3,3,1,Umbral cobre,0.15,-0.8897239157923799,-30.658481951361992
multidia,clp_h3,3,1,Umbral cobre,0.2,-1.4067758938371098,-42.32312975588578
multidia,clp_h3,3,1,Umbral cobre,0.3,-2.435122617458797,-60.141017403151054
multidia,clp_h5,14,1,PPO seed=42,0.0,1.532529038883163,27.16281523676067
multidia,clp_h5,14,1,PPO seed=42,0.02,1.4405531638040974,25.251263439580995
multidia,clp_h5,14,1,PPO seed=42,0.05,1.3023971360626128,22.43490910767838
multidia,clp_h5,14,1,PPO seed=42,0.1,1.0716776814191482,17.873878088803828
multidia,clp_h5,14,1,PPO seed=42,0.15,0.8404711629981056,13.474146270065578
multidia,clp_h5,14,1,PPO seed=42,0.2,0.6088791487400843,9.230313570684112
multidia,clp_h5,14,1,PPO seed=42,0.3,0.1449489767576875,1.189593211743789
multidia,clp_h5,14,1,Umbral cobre,0.0,1.4865928247001448,22.681988695005174
multidia,clp_h5,14,1,Umbral cobre,0.02,1.3777257889492172,20.82904147695146
multidia,clp_h5,14,1,Umbral cobre,0.05,1.2151847072296689,18.099251586541175
multidia,clp_h5,14,1,Umbral cobre,0.1,0.946360726939447,13.678982486113455
multidia,clp_h5,14,1,Umbral cobre,0.15,0.6802146975158251,9.41573017672832
multidia,clp_h5,14,1,Umbral cobre,0.2,0.41683318389518365,5.304216004591145
multidia,clp_h5,14,1,Umbral cobre,0.3,-0.10132570814882803,-2.483880399320504
multidia,clp_h5,14,2,PPO seed=42,0.0,1.32319142787092,23.194436772072912
multidia,clp_h5,14,2,PPO seed=42,0.02,1.2326154064085102,21.340293627957642
multidia,clp_h5,14,2,PPO seed=42,0.05,1.096498991622937,18.608582936454376
multidia,clp_h5,14,2,PPO seed=42,0.1,0.8690147722702063,14.184790171894957
multidia,clp_h5,14,2,PPO seed=42,0.15,0.6408327072325762,9.917636541929165
multidia,clp_h5,14,2,PPO seed=42,0.2,0.4120483535322163,5.801871307638851
multidia,clp_h5,14,2,PPO seed=42,0.3,-0.04693805083940836,-1.9956713037131646
multidia,clp_h5,14,2,Umbral cobre,0.0,1.177370242762078,17.363565563940586
multidia,clp_h5,14,2,Umbral cobre,0.02,1.0696204824952542,15.58814781651816
multidia,clp_h5,14,2,Umbral cobre,0.05,0.9085560810960168,12.972653059456519
multidia,clp_h5,14,2,Umbral cobre,0.1,0.6416749493333851,8.737659761329851
multidia,clp_h5,14,2,Umbral cobre,0.15,0.3768457655115038,4.65334541302318
multidia,clp_h5,14,2,Umbral cobre,0.2,0.11418117845137556,0.7146359311386741
multidia,clp_h5,14,2,Umbral cobre,0.3,-0.4042354842976103,-6.745463490540137
multidia,clp_h5,14,4,PPO seed=42,0.0,1.1682825100324243,20.09681759769517
multidia,clp_h5,14,4,PPO seed=42,0.02,1.077436397129176,18.286120287526163
multidia,clp_h5,14,4,PPO seed=42,0.05,0.9410229279181209,15.61850015862294
multidia,clp_h5,14,4,PPO seed=42,0.1,0.7133338469041515,11.298709431633602
multidia,clp_h5,14,4,PPO seed=42,0.15,0.4853123982692883,7.132133113477668
multidia,clp_h5,14,4,PPO seed=42,0.2,0.2570564381380253,3.1136269000326955
multidia,clp_h5,14,4,PPO seed=42,0.3,-0.1997652230665627,-4.498942273187112
multidia,clp_h5,14,4,Umbral cobre,0.0,1.1069788847706232,15.798829068863164
multidia,clp_h5,14,4,Umbral cobre,0.02,0.9960710704732194,14.044711297974866
multidia,clp_h5,14,4,Umbral cobre,0.05,0.8305798462800866,11.460654829935724
multidia,clp_h5,14,4,Umbral cobre,0.1,0.5571326666816048,7.276721513432705
multidia,clp_h5,14,4,Umbral cobre,0.15,0.286726140056728,3.241839119423018
multidia,clp_h5,14,4,Umbral cobre,0.2,0.019440960244827093,-0.6490175896661898
multidia,clp_h5,14,4,Umbral cobre,0.3,-0.5054820510218778,-8.017960459971452
multidia,clp_h5,3,1,PPO seed=42,0.0,1.695882173870461,57.55682420736257
multidia,clp_h5,3,1,PPO seed=42,0.02,1.514405959231595,49.41883390339539
multidia,clp_h5,3,1,PPO seed=42,0.05,1.2402040687217433,37.98203840350038
multidia,clp_h5,3,1,PPO seed=42,0.1,0.778814834673021,20.806709279237868
multidia,clp_h5,3,1,PPO seed=42,0.15,0.3134972352716255,5.740708397407102
multidia,clp_h5,3,1,PPO seed=42,0.2,-0.15388442146677667,-7.471496213716811
multidia,clp_h5,3,1,PPO seed=42,0.3,-1.0871961433397834,-29.207596289279746
multidia,clp_h5,3,1,Umbral cobre,0.0,2.2698822664264773,113.27893123311341
multidia,clp_h5,3,1,Umbral cobre,0.02,2.062482324844394,97.98737168055341
multidia,clp_h5,3,1,Umbral cobre,0.05,1.750463330751863,77.06123402684612
multidia,clp_h5,3,1,Umbral cobre,0.1,1.2281593896314213,46.939189811912826
multidia,clp_h5,3,1,Umbral cobre,0.15,0.7033122086055315,21.896081102683617
multidia,clp_h5,3,1,Umbral cobre,0.2,0.17627341611971498,1.0832309907707005
