ds,estrategia,precio_entrada,precio_salida,posicion,notional,razon_cierre,pnl,capital
2025-10-13,Umbral cobre,947.030029296875,954.1687304678696,-1.0,509.4196924592144,stop_loss,-4.094709468824807,123.90527795101774
2025-10-14,Umbral cobre,956.5499877929688,956.65955,1.0,479.80876603612506,take_profit,-0.18494760289083237,123.72033034812691
2025-10-15,Umbral cobre,960.8499755859376,959.1199951171876,1.0,490.1383798193363,cierre_periodo,-0.8824788943301407,122.83785145379677
2025-10-16,Umbral cobre,959.1199951171876,954.969970703125,1.0,502.3288391274911,cierre_periodo,-2.1735309000748217,120.66432055372195
2025-10-17,Umbral cobre,954.969970703125,960.6500244140624,1.0,503.23930843705983,cierre_periodo,2.993210665328968,123.65753121905092
2025-10-20,Umbral cobre,960.6500244140624,950.5499877929688,-1.0,520.9183722542817,cierre_periodo,5.216347666168313,128.87387888521923
2025-10-21,Umbral cobre,950.5499877929688,950.9500122070312,1.0,517.7095719220592,cierre_periodo,-0.04098463623485302,128.8328942489844
2025-10-22,Umbral cobre,950.9500122070312,949.75,-1.0,535.5984149589262,cierre_periodo,0.4080771559117314,129.24097140489613
2025-10-23,Umbral cobre,949.75,949.07715,-1.0,555.076894328396,take_profit,0.3932439993144334,129.63421540421055
2025-10-24,Umbral cobre,946.9400024414062,930.953857421875,-1.0,571.4887002526247,cierre_periodo,9.64781423924182,139.28202964345238
2025-10-27,Umbral cobre,930.953857421875,938.4435273864847,-1.0,519.3759272924594,stop_loss,-4.178460889303607,135.10356875414877
2025-10-28,Umbral cobre,939.9000244140624,939.9000244140624,0.0,0.0,plano,0.0,135.10356875414877
2025-10-29,Umbral cobre,942.0999755859376,940.510009765625,-1.0,512.3098039938258,cierre_periodo,0.6084614857220512,135.7120302398708
2025-10-30,Umbral cobre,940.510009765625,942.02001953125,1.0,531.5659139925435,cierre_periodo,0.5876579557720514,136.29968819564286
2025-10-31,Umbral cobre,942.02001953125,935.0393217428721,1.0,551.7945576297356,stop_loss,-4.088990645869281,132.21069754977358
2025-11-03,Umbral cobre,928.7900390625,938.530029296875,1.0,487.8677992661792,cierre_periodo,5.1161483227307185,137.3268458725043
2025-11-04,Umbral cobre,938.530029296875,941.4441,1.0,495.07711218121557,take_profit,1.5371801256864024,138.8640259981907
2025-11-05,Umbral cobre,946.3900146484376,944.0481,-1.0,500.1255607756378,take_profit,0.9875362630400084,139.8515622612307
2025-11-06,Umbral cobre,943.4199829101562,942.0,1.0,518.358288177474,cierre_periodo,-1.03938300226794,138.81217925896274
2025-11-07,Umbral cobre,942.0,934.622847578151,1.0,531.7542544247789,stop_loss,-4.1643653777688705,134.64781388119388
2025-11-10,Umbral cobre,929.9956665039062,937.4400024414062,-1.0,484.7117151765749,cierre_periodo,-4.1223275290488495,130.52548635214504
2025-11-11,Umbral cobre,937.4400024414062,935.6300048828124,1.0,470.880562451589,cierre_periodo,-1.1446106454165985,129.38087570672843
2025-11-12,Umbral cobre,935.6300048828124,929.52001953125,-1.0,482.08117954239106,cierre_periodo,2.907115123380448,132.28799083010887
2025-11-13,Umbral cobre,929.52001953125,929.3800048828124,1.0,497.0203356150288,cierre_periodo,-0.3233769012777379,131.96461392883114
2025-11-14,Umbral cobre,929.3800048828124,922.2105344725,1.0,513.1980460974852,stop_loss,-3.95893841786495,128.0056755109662
2025-11-17,Umbral cobre,918.2572631835938,923.3699951171876,1.0,471.57105748490886,cierre_periodo,2.625643707083501,130.6313192180497
2025-11-18,Umbral cobre,923.3699951171876,930.00134,1.0,490.0509746186354,take_profit,3.5193877211075018,134.1507069391572
2025-11-19,Umbral cobre,931.9000244140624,931.9500122070312,-1.0,497.1462595184712,cierre_periodo,-0.2752404155677961,133.8754665235894
2025-11-20,Umbral cobre,931.9500122070312,930.1500244140624,1.0,513.5885133236093,cierre_periodo,-1.24874987926247,132.62671664432693
2025-11-21,Umbral cobre,930.1500244140624,937.1977434261723,-1.0,525.117744532835,stop_loss,-4.241360371596256,128.3853562727307
2025-11-24,Umbral cobre,938.5700073242188,940.6400146484376,1.0,500.4973596403074,cierre_periodo,0.8535935398575019,129.2389498125882
2025-11-25,Umbral cobre,940.6400146484376,935.9457,-1.0,520.0265415451593,take_profit,2.335207189271511,131.5741570018597
2025-11-26,Umbral cobre,934.9600219726562,934.7062,-1.0,533.5711047961945,take_profit,0.14485332761717076,131.71901032947687
2025-11-27,Umbral cobre,925.7000122070312,925.7000122070312,0.0,0.0,plano,0.0,131.71901032947687
2025-11-28,Umbral cobre,926.8800048828124,927.5700073242188,-1.0,534.1651425075227,cierre_periodo,-0.6647341016597589,131.05427622781713
2025-12-01,Umbral cobre,927.5700073242188,929.2999877929688,-1.0,549.7520751933479,cierre_periodo,-1.0253246064766772,130.02895162134044
2025-12-02,Umbral cobre,929.2999877929688,923.4600219726562,1.0,563.0398256118064,cierre_periodo,-3.8198104328098657,126.20914118853058
2025-12-03,Umbral cobre,923.4600219726562,918.4500122070312,-1.0,547.0510968435528,cierre_periodo,2.694368320581273,128.90350950911184
2025-12-04,Umbral cobre,918.4500122070312,917.22998046875,1.0,563.7347416250419,cierre_periodo,-1.0307097330676127,127.87279977604423
2025-12-05,Umbral cobre,917.22998046875,921.3800048828124,-1.0,577.2854477720043,cierre_periodo,-2.90058166303015,124.97221811301408
2025-12-08,Umbral cobre,921.3800048828124,922.6900024414062,1.0,574.0104778672086,cierre_periodo,0.5291100670513339,125.50132818006541
2025-12-09,Umbral cobre,922.6900024414062,925.6799926757812,1.0,595.1686392463206,cierre_periodo,1.9286525425052095,127.42998072257062
2025-12-10,Umbral cobre,925.6799926757812,925.6368,-1.0,619.1287816242038,take_profit,-0.28067554267546,127.14930517989517
2025-12-11,Umbral cobre,923.3300170898438,913.75,-1.0,633.7752472379702,cierre_periodo,6.575739537631553,133.7250447175267
2025-12-12,Umbral cobre,913.75,909.75,1.0,618.3718492104214,cierre_periodo,-3.0161488760051403,130.70889584152158
2025-12-15,Umbral cobre,909.75,913.8300170898438,-1.0,613.28281336383,cierre_periodo,-3.0570721397754914,127.6518237017461
2025-12-16,Umbral cobre,913.8300170898438,913.4400024414062,1.0,608.5717490064579,cierre_periodo,-0.5640189674187058,127.08780473432739
2025-12-17,Umbral cobre,913.4400024414062,894.8400268554688,-1.0,626.0215201248377,cierre_periodo,12.434389134262203,139.5221938685896
2026-01-08,Umbral cobre,894.8400268554688,895.78326,1.0,603.1773589836049,take_profit,0.3342086249978833,139.85640249358747
2026-01-09,Umbral cobre,896.489990234375,894.6300048828125,-1.0,623.930439117094,cierre_periodo,0.9825294092641974,140.83893190285167
2026-01-12,Umbral cobre,894.6300048828125,883.6699829101562,-1.0,646.901829029889,cierre_periodo,7.9251290719316145,148.7640609747833
2026-01-13,Umbral cobre,883.6699829101562,885.5499877929688,1.0,624.0425110302554,cierre_periodo,1.0156270640031946,149.77968803878647
2026-01-14,Umbral cobre,885.5499877929688,881.3400268554688,-1.0,648.0932450449334,cierre_periodo,2.7570298645280467,152.53671790331452
2026-01-15,Umbral cobre,881.3400268554688,882.510009765625,1.0,669.7253112860419,cierre_periodo,0.5542007532882985,153.0909186566028
2026-01-16,Umbral cobre,882.510009765625,886.1900024414062,1.0,694.2848360479231,cierre_periodo,2.8951094982377414,155.98602815484054
2026-01-19,Umbral cobre,886.1900024414062,886.1900024414062,0.0,0.0,plano,0.0,155.98602815484054
2026-01-20,Umbral cobre,887.2899780273438,884.6099853515625,1.0,744.7016466382125,cierre_periodo,-2.6216661633500755,153.36436199149045
2026-01-21,Umbral cobre,884.6099853515625,879.177918387093,1.0,749.2597950400674,stop_loss,-4.6009308597447545,148.7634311317457
2026-01-22,Umbral cobre,874.3499755859375,871.25,-1.0,662.6121101201275,cierre_periodo,2.017960739328993,150.7813918710747
2026-01-23,Umbral cobre,871.25,870.0399780273438,-1.0,686.4667717391632,cierre_periodo,0.9533886683532738,151.734780539428
2026-01-26,Umbral cobre,870.0399780273438,864.5900268554688,-1.0,712.6206963995244,cierre_periodo,4.463873037478868,156.19865357690685
2026-01-27,Umbral cobre,864.5900268554688,859.75,1.0,730.2931392082917,cierre_periodo,-4.453371388699344,151.7452821882075
2026-01-28,Umbral cobre,859.75,862.4400024414062,-1.0,711.6065364391909,cierre_periodo,-2.5822915733572156,149.1629906148503
2026-01-29,Umbral cobre,862.4400024414062,859.1599731445312,-1.0,716.9936707285614,cierre_periodo,2.726868233159681,151.88985884800996
2026-01-30,Umbral cobre,859.1599731445312,859.7888,1.0,743.0625523015273,take_profit,0.17232284041173707,152.0621816884217
2026-02-02,Umbral cobre,865.9299926757812,865.1099853515625,1.0,725.9126850278628,cierre_periodo,-0.687415522618373,151.37476616580332
2026-02-03,Umbral cobre,865.1099853515625,864.2842,-1.0,745.8447986476449,take_profit,0.33901911064727597,151.7137852764506
2026-02-04,Umbral cobre,860.0399780273438,858.2100219726562,1.0,744.8087228117444,cierre_periodo,-1.957176310053685,149.75660896639693
2026-02-05,Umbral cobre,858.2100219726562,862.0256,1.0,755.5339757509292,take_profit,3.359083164935124,153.11569213133205
2026-02-06,Umbral cobre,866.2100219726562,860.3900146484375,-1.0,734.2978701735605,cierre_periodo,4.566549445400506,157.68224157673257
2026-02-09,Umbral cobre,860.3900146484375,852.3699951171875,-1.0,747.4108095980913,cierre_periodo,6.966897789130394,164.64913936586296
2026-02-10,Umbral cobre,852.3699951171875,855.1599731445312,1.0,744.6288809467405,cierre_periodo,2.0650053012678296,166.7141446671308
2026-02-11,Umbral cobre,855.1599731445312,854.1400146484375,-1.0,772.9213196941473,cierre_periodo,0.5354109099075127,167.2495555770383
2026-02-12,Umbral cobre,854.1400146484375,854.9466,1.0,800.1321639898904,take_profit,0.3555183324103164,167.60507390944863
2026-02-13,Umbral cobre,856.6099853515625,861.846495048751,-1.0,822.5260042018267,stop_loss,-5.439415219384299,162.16565869006433
2026-02-16,Umbral cobre,862.4000244140625,862.4000244140625,0.0,0.0,plano,0.0,162.16565869006433
2026-02-17,Umbral cobre,862.3200073242188,865.719970703125,1.0,813.9284493926922,cierre_periodo,2.8022004676226047,164.96785915768695
2026-02-18,Umbral cobre,865.719970703125,861.5900268554688,-1.0,842.3791278145612,cierre_periodo,3.5974060721460384,168.565265229833
2026-02-19,Umbral cobre,861.5900268554688,865.02001953125,1.0,865.8601197240245,cierre_periodo,3.014061869401206,171.5793270992342
2026-02-20,Umbral cobre,865.02001953125,866.4000244140625,-1.0,895.5522576230852,cierre_periodo,-1.8764904480516051,169.7028366511826
2026-02-23,Umbral cobre,866.4000244140625,866.4000244140625,1.0,912.3321038078316,cierre_periodo,-0.4561660519039158,169.24667059927867
2026-02-24,Umbral cobre,866.4000244140625,865.3654,-1.0,939.1608813675577,take_profit,0.6519324277541529,169.89860302703283
2026-02-25,Umbral cobre,860.6599731445312,856.530029296875,-1.0,918.8751693793371,cierre_periodo,4.409293996416639,174.30789702344947
2026-02-26,Umbral cobre,856.530029296875,861.0199,1.0,944.63088287507,take_profit,4.479373794454805,178.78727081790427
2026-02-27,Umbral cobre,865.1699829101562,870.3453648691768,-1.0,896.6374729220191,stop_loss,-5.811936860998162,172.9753339569061
2026-03-02,Umbral cobre,873.1599731445312,882.6500244140625,1.0,826.7471886112787,cierre_periodo,8.572234367779856,181.54756832468595
2026-03-03,Umbral cobre,882.6500244140625,899.9199829101562,1.0,811.5365400063954,cierre_periodo,15.878549794725052,197.426118119411
2026-03-04,Umbral cobre,899.9199829101562,894.3800048828125,-1.0,713.3593705118303,cierre_periodo,4.034816573617423,201.46093469302843
2026-03-05,Umbral cobre,894.3800048828125,898.93494,1.0,737.4437391164722,take_profit,3.3869618061873807,204.8478964992158
2026-03-06,Umbral cobre,905.6699829101562,910.8900146484376,-1.0,715.2848511050768,cierre_periodo,-4.480346826865085,200.36754967235072
2026-03-09,Umbral cobre,910.8900146484376,914.8200073242188,-1.0,713.2675302470791,cierre_periodo,-3.077359642399203,197.2901900299515
2026-03-10,Umbral cobre,914.8200073242188,904.4708,-1.0,720.8252977617342,take_profit,8.154577284440606,205.4447673143921
2026-03-11,Umbral cobre,888.6900024414062,896.9400024414062,1.0,549.2990690808292,cierre_periodo,4.824673409869134,210.26944072426122
2026-03-12,Umbral cobre,896.9400024414062,915.7000122070312,1.0,568.814362325006,cierre_periodo,11.897075571386353,222.16651629564757
2026-03-13,Umbral cobre,915.7000122070312,916.7100219726562,1.0,551.7563360652898,cierre_periodo,0.60858281122903,222.7750991068766
2026-03-16,Umbral cobre,916.7100219726562,909.4199829101562,-1.0,574.4850771355531,cierre_periodo,4.28128900658689,227.0563881134635
2026-03-17,Umbral cobre,909.4199829101562,906.9099731445312,1.0,596.2188952903955,cierre_periodo,-1.9436805564305721,225.11270755703293
2026-03-18,Umbral cobre,906.9099731445312,915.1300048828124,1.0,611.9421841271295,cierre_periodo,5.5465088316064195,230.65921638863935
2026-03-19,Umbral cobre,915.1300048828124,912.489990234375,1.0,634.5083495885699,cierre_periodo,-1.8304626976843168,228.82875369095504
2026-03-20,Umbral cobre,912.489990234375,927.5499877929688,1.0,651.0509701339942,cierre_periodo,10.745132687120934,239.57388637807597
2026-03-23,Umbral cobre,927.5499877929688,910.6799926757812,-1.0,648.7342051703655,cierre_periodo,11.474611947177186,251.04849832525315
2026-03-24,Umbral cobre,910.6799926757812,917.3599853515624,1.0,637.7808051415693,cierre_periodo,4.359340305651494,255.40783863090465
2026-03-25,Umbral cobre,917.3599853515624,916.6900024414062,-1.0,663.8020708785924,cierre_periodo,0.1528988798790854,255.56073751078372
2026-03-26,Umbral cobre,916.6900024414062,928.0399780273438,1.0,689.0770992329315,cierre_periodo,8.187253258184246,263.74799076896795
2026-03-27,Umbral cobre,928.0399780273438,922.719970703125,-1.0,705.1826511644982,cierre_periodo,3.6898820138546324,267.4378727828226
2026-03-30,Umbral cobre,922.719970703125,930.219970703125,-1.0,733.8018562522069,cierre_periodo,-5.964446524006412,261.4734262588162
2026-03-31,Umbral cobre,930.219970703125,926.1099853515624,-1.0,729.1574904500852,cierre_periodo,3.221632193584058,264.69505845240025
2026-04-01,Umbral cobre,926.1099853515624,912.4600219726562,-1.0,760.1502676658324,cierre_periodo,11.203878027689603,275.89893648008984
2026-04-02,Umbral cobre,912.4600219726562,916.5,1.0,761.881542268345,cierre_periodo,2.9923409245926793,278.8912774046825
2026-04-03,Umbral cobre,916.5,916.5,0.0,0.0,plano,0.0,278.8912774046825
2026-04-06,Umbral cobre,919.3699951171876,915.969970703125,-1.0,820.8773468878351,cierre_periodo,2.625339125693228,281.51661653037576
2026-04-07,Umbral cobre,915.969970703125,916.4600219726562,1.0,854.3591773278564,cierre_periodo,0.0299094130244128,281.5465259434002
2026-04-08,Umbral cobre,916.4600219726562,897.22998046875,-1.0,885.8320106396426,cierre_periodo,18.144459244745697,299.6909851881459
2026-04-09,Umbral cobre,897.22998046875,891.6199951171875,1.0,827.4888933435225,cierre_periodo,-5.587669383745919,294.1033158043999
2026-04-10,Umbral cobre,891.6199951171875,894.4400024414062,-1.0,830.8324724076176,cierre_periodo,-3.0431653560295873,291.06015044837034
2026-04-13,Umbral cobre,894.4400024414062,894.8900146484375,-1.0,849.9873557189135,cierre_periodo,-0.42764711422975726,290.63250333414055
2026-04-14,Umbral cobre,894.8900146484375,886.22998046875,-1.0,879.975429199626,cierre_periodo,8.515702677884658,299.1482060120252
2026-04-15,Umbral cobre,886.22998046875,884.9500122070312,-1.0,904.341828853985,cierre_periodo,1.3061269243741265,300.4543329363993
2026-04-16,Umbral cobre,884.9500122070312,886.1199951171875,1.0,940.6811423001669,cierre_periodo,0.7733238677628542,301.2276568041621
2026-04-17,Umbral cobre,886.1199951171875,890.3200073242188,-1.0,977.040326985833,cierre_periodo,-5.119474574537001,296.10818222962513
2026-04-20,Umbral cobre,890.3200073242188,882.2989037470629,1.0,986.0153397928864,stop_loss,-9.376253136785209,286.7319290928399
2026-04-21,Umbral cobre,881.219970703125,890.70856,1.0,941.1554256011784,take_profit,10.133947930083536,296.8658770229234
2026-04-22,Umbral cobre,891.9400024414062,889.72998046875,-1.0,948.2260354889817,cierre_periodo,1.8753727859410994,298.74124980886455
2026-04-23,Umbral cobre,889.72998046875,894.469970703125,1.0,986.0056130930151,cierre_periodo,4.7598908574812375,303.5011406663458
2026-04-24,Umbral cobre,894.469970703125,896.1099853515625,1.0,1025.2474407518464,cierre_periodo,1.8797957183340146,305.38093638467984
2026-04-27,Umbral cobre,896.1099853515625,893.5399780273438,1.0,1067.577090197775,cierre_periodo,-3.061768070690586,302.3191683139893
2026-04-28,Umbral cobre,893.5399780273438,891.1199951171875,1.0,1089.8508903816871,cierre_periodo,-2.9516536407971956,299.3675146731921
2026-04-29,Umbral cobre,891.1199951171875,904.469970703125,1.0,1113.060320199428,cierre_periodo,16.67489023000101,316.0424049031931
2026-04-30,Umbral cobre,904.469970703125,900.469970703125,-1.0,1083.2426564925581,cierre_periodo,4.248997228831772,320.29140213202487
