ds,sp500,vix
2005-09-30,1228.81005859375,11.92
2005-10-31,1207.010009765625,15.32
2005-11-30,1249.47998046875,12.06
2005-12-30,1248.2900390625,12.07
2006-01-31,1280.0799560546875,12.95
2006-02-28,1280.6600341796875,12.34
2006-03-31,1294.8699951171875,11.39
2006-04-28,1310.6099853515625,11.59
2006-05-31,1270.0899658203125,16.44
2006-06-30,1270.199951171875,13.08
2006-07-31,1276.6600341796875,14.95
2006-08-31,1303.8199462890625,12.31
2006-09-29,1335.8499755859375,11.98
2006-10-31,1377.93994140625,11.1
2006-11-30,1400.6300048828125,10.91
2006-12-29,1418.300048828125,11.56
2007-01-31,1438.239990234375,10.42
2007-02-28,1406.8199462890625,15.42
2007-03-30,1420.8599853515625,14.64
2007-04-30,1482.3699951171875,14.22
2007-05-31,1530.6199951171875,13.05
2007-06-29,1503.3499755859375,16.23
2007-07-31,1455.27001953125,23.52
2007-08-31,1473.989990234375,23.38
2007-09-28,1526.75,18.0
2007-10-31,1549.3800048828125,18.53
2007-11-30,1481.1400146484375,22.87
2007-12-31,1468.3599853515625,22.5
2008-01-31,1378.550048828125,26.2
2008-02-29,1330.6300048828125,26.54
2008-03-31,1322.699951171875,25.61
2008-04-30,1385.5899658203125,20.79
2008-05-30,1400.3800048828125,17.83
2008-06-30,1280.0,23.95
2008-07-31,1267.3800048828125,22.94
2008-08-29,1282.8299560546875,20.65
2008-09-30,1166.3599853515625,39.39
2008-10-31,968.75,59.89
2008-11-28,896.239990234375,55.84
2008-12-31,903.25,40.0
2009-01-30,825.8800048828125,44.84
2009-02-27,735.0900268554688,46.35
2009-03-31,797.8699951171875,44.14
2009-04-30,872.8099975585938,36.5
2009-05-29,919.1400146484376,28.92
2009-06-30,919.3200073242188,26.35
2009-07-31,987.47998046875,25.92
2009-08-31,1020.6199951171876,26.01
2009-09-30,1057.0799560546875,25.61
2009-10-30,1036.18994140625,30.69
2009-11-30,1095.6300048828125,24.51
2009-12-31,1115.0999755859375,21.68
2010-01-29,1073.8699951171875,24.62
2010-02-26,1104.489990234375,19.5
2010-03-31,1169.4300537109375,17.59
2010-04-30,1186.68994140625,22.05
2010-05-28,1089.4100341796875,32.07
2010-06-30,1030.7099609375,34.54
2010-07-30,1101.5999755859375,23.5
2010-08-31,1049.3299560546875,26.05
2010-09-30,1141.199951171875,23.7
2010-10-29,1183.260009765625,21.2
2010-11-30,1180.550048828125,23.54
2010-12-30,1257.8800048828125,17.52
2011-01-31,1286.1199951171875,19.53
2011-02-28,1327.219970703125,18.35
2011-03-31,1325.8299560546875,17.74
2011-04-29,1363.6099853515625,14.75
2011-05-31,1345.199951171875,15.45
2011-06-30,1320.6400146484375,16.52
2011-07-29,1292.280029296875,25.25
2011-08-31,1218.8900146484375,31.62
2011-09-30,1131.4200439453125,42.96
2011-10-31,1253.300048828125,29.96
2011-11-30,1246.9599609375,27.8
2011-12-30,1257.5999755859375,23.4
2012-01-31,1312.4100341796875,19.44
2012-02-29,1365.6800537109375,18.43
2012-03-30,1408.469970703125,15.5
2012-04-30,1397.9100341796875,17.15
2012-05-31,1310.3299560546875,24.06
2012-06-29,1362.1600341796875,17.08
2012-07-31,1379.3199462890625,18.93
2012-08-31,1406.5799560546875,17.47
2012-09-28,1440.6700439453125,15.73
2012-10-31,1412.1600341796875,18.6
2012-11-30,1416.1800537109375,15.87
2012-12-31,1426.18994140625,18.02
2013-01-31,1498.1099853515625,14.28
2013-02-28,1514.6800537109375,15.51
2013-03-29,1569.18994140625,12.7
2013-04-30,1597.5699462890625,13.52
2013-05-31,1630.739990234375,16.3
2013-06-28,1606.280029296875,16.86
2013-07-31,1685.72998046875,13.45
2013-08-30,1632.969970703125,17.01
2013-09-30,1681.550048828125,16.6
2013-10-31,1756.5400390625,13.75
2013-11-29,1805.81005859375,13.7
2013-12-31,1848.3599853515625,13.72
2014-01-31,1782.5899658203125,18.41
2014-02-28,1859.449951171875,14.0
2014-03-31,1872.3399658203125,13.88
2014-04-30,1883.949951171875,13.41
2014-05-30,1923.5699462890625,11.4
2014-06-30,1960.22998046875,11.57
2014-07-31,1930.6700439453125,16.95
2014-08-29,2003.3699951171875,11.98
2014-09-30,1972.2900390625,16.31
2014-10-31,2018.050048828125,14.03
2014-11-28,2067.56005859375,13.33
2014-12-31,2058.89990234375,19.2
2015-01-30,1994.989990234375,20.97
2015-02-27,2104.5,13.34
2015-03-31,2067.889892578125,15.29
2015-04-30,2085.510009765625,14.55
2015-05-29,2107.389892578125,13.84
2015-06-30,2063.110107421875,18.23
2015-07-31,2103.840087890625,12.12
2015-08-31,1972.1800537109373,28.43
2015-09-30,1920.030029296875,24.5
2015-10-30,2079.360107421875,15.07
2015-11-30,2080.409912109375,16.13
2015-12-31,2043.93994140625,18.21
2016-01-29,1940.239990234375,20.2
2016-02-29,1932.22998046875,20.55
2016-03-31,2059.739990234375,13.95
2016-04-29,2065.300048828125,15.7
2016-05-31,2096.949951171875,14.19
2016-06-30,2098.860107421875,15.63
2016-07-29,2173.60009765625,11.87
2016-08-31,2170.949951171875,13.42
2016-09-30,2168.27001953125,13.29
2016-10-31,2126.14990234375,17.06
2016-11-30,2198.81005859375,13.33
2016-12-30,2238.830078125,14.04
2017-01-31,2278.8701171875,11.99
2017-02-28,2363.639892578125,12.92
2017-03-31,2362.719970703125,12.37
2017-04-28,2384.199951171875,10.82
2017-05-31,2411.800048828125,10.41
2017-06-30,2423.409912109375,11.18
2017-07-31,2470.300048828125,10.26
2017-08-31,2471.64990234375,10.59
2017-09-29,2519.360107421875,9.51
2017-10-31,2575.260009765625,10.18
2017-11-30,2647.580078125,11.28
2017-12-29,2673.610107421875,11.04
2018-01-31,2823.81005859375,13.54
2018-02-28,2713.830078125,19.85
2018-03-30,2640.8701171875,19.97
2018-04-30,2648.050048828125,15.93
2018-05-31,2705.27001953125,15.43
2018-06-29,2718.3701171875,16.09
2018-07-31,2816.2900390625,12.83
2018-08-31,2901.52001953125,12.86
2018-09-28,2913.97998046875,12.12
2018-10-31,2711.739990234375,21.23
2018-11-30,2760.169921875,18.07
2018-12-31,2506.85009765625,25.42
2019-01-31,2704.10009765625,16.57
2019-02-28,2784.489990234375,14.78
2019-03-29,2834.39990234375,13.71
2019-04-30,2945.830078125,13.12
2019-05-31,2752.06005859375,18.71
2019-06-28,2941.760009765625,15.08
2019-07-31,2980.3798828125,16.12
2019-08-30,2926.4599609375,18.98
2019-09-30,2976.739990234375,16.24
2019-10-31,3037.56005859375,13.22
2019-11-29,3140.97998046875,12.62
2019-12-31,3230.780029296875,13.78
2020-01-31,3225.52001953125,18.84
2020-02-28,2954.219970703125,40.11
2020-03-31,2584.590087890625,53.54
2020-04-30,2912.429931640625,34.15
2020-05-29,3044.31005859375,27.51
2020-06-30,3100.2900390625,30.43
2020-07-31,3271.1201171875,24.46
2020-08-31,3500.31005859375,26.41
2020-09-30,3363.0,26.37
2020-10-30,3269.9599609375,38.02
2020-11-30,3621.6298828125,20.57
2020-12-31,3756.070068359375,22.75
2021-01-29,3714.239990234375,33.09
2021-02-26,3811.14990234375,27.95
2021-03-31,3972.889892578125,19.4
2021-04-30,4181.169921875,18.61
2021-05-28,4204.10986328125,16.76
2021-06-30,4297.5,15.83
2021-07-30,4395.259765625,18.24
2021-08-31,4522.68017578125,16.48
2021-09-30,4307.5400390625,23.14
2021-10-29,4605.3798828125,16.26
2021-11-30,4567.0,27.19
2021-12-30,4778.72998046875,17.33
2022-01-31,4515.5498046875,24.83
2022-02-28,4373.93994140625,30.15
2022-03-31,4530.41015625,20.56
2022-04-29,4131.93017578125,33.4
2022-05-31,4132.14990234375,26.19
2022-06-30,3785.3798828125,28.71
2022-07-29,4130.2900390625,21.33
2022-08-31,3955.0,25.87
2022-09-30,3585.6201171875,31.62
2022-10-31,3871.97998046875,25.88
2022-11-30,4080.110107421875,20.58
2022-12-30,3839.5,21.67
2023-01-31,4076.60009765625,19.4
2023-02-28,3970.14990234375,20.7
2023-03-31,4109.31005859375,18.7
2023-04-28,4169.47998046875,15.78
2023-05-31,4179.830078125,17.94
2023-06-30,4450.3798828125,13.59
2023-07-31,4588.9599609375,13.63
2023-08-31,4507.66015625,13.57
2023-09-29,4288.0498046875,17.52
2023-10-31,4193.7998046875,18.14
2023-11-30,4567.7998046875,12.92
2023-12-29,4769.830078125,12.45
2024-01-31,4845.64990234375,14.35
2024-02-29,5096.27001953125,13.4
2024-03-29,5254.35009765625,13.01
2024-04-30,5035.68994140625,15.65
2024-05-31,5277.509765625,12.92
2024-06-28,5460.47998046875,12.44
2024-07-31,5522.2998046875,16.36
2024-08-30,5648.39990234375,15.0
2024-09-30,5762.47998046875,16.73
2024-10-31,5705.4501953125,23.16
2024-11-29,6032.3798828125,13.51
2024-12-31,5881.6298828125,17.35
2025-01-31,6040.52978515625,16.43
2025-02-28,5954.5,19.63
2025-03-31,5611.85009765625,22.28
2025-04-30,5569.06005859375,24.7
2025-05-30,5911.68994140625,18.57
2025-06-30,6204.9501953125,16.73
2025-07-31,6339.39013671875,16.72
2025-08-29,6460.259765625,15.36
2025-09-30,6688.4599609375,16.28
2025-10-31,6840.2001953125,17.44
2025-11-28,6849.08984375,16.35
2025-12-31,6845.5,14.95
2026-01-30,6939.02978515625,17.44
2026-02-27,6878.8798828125,19.86
2026-03-31,6528.52001953125,25.25
2026-04-30,7209.009765625,16.89
2026-05-29,7580.06005859375,15.32
2026-06-30,7499.35986328125,16.45
2026-07-31,7489.72021484375,15.99
2026-08-31,7686.14013671875,14.92
