ds,copper,tasa_chile,tasa_us
2009-08-01,2.616499900817871,0.46,0.18
2009-08-02,2.616499900817871,0.46,0.18
2009-08-03,2.7314999103546143,0.46,0.18
2009-08-04,2.7890000343322754,0.46,0.17
2009-08-05,2.80649995803833,0.46,0.17
2009-08-06,2.747499942779541,0.46,0.17
2009-08-07,2.7815001010894775,0.46,0.17
2009-08-08,2.7815001010894775,0.46,0.17
2009-08-09,2.7815001010894775,0.46,0.17
2009-08-10,2.7664999961853027,0.46,0.17
2009-08-11,2.7335000038146973,0.46,0.16
2009-08-12,2.820499897003174,0.46,0.15
2009-08-13,2.9105000495910645,0.46,0.15
2009-08-14,2.8340001106262207,0.46,0.15
2009-08-15,2.8340001106262207,0.46,0.15
2009-08-16,2.8340001106262207,0.46,0.15
2009-08-17,2.7679998874664307,0.46,0.17
2009-08-18,2.759500026702881,0.46,0.17
2009-08-19,2.756999969482422,0.46,0.17
2009-08-20,2.73799991607666,0.46,0.17
2009-08-21,2.878999948501587,0.46,0.16
2009-08-22,2.878999948501587,0.46,0.16
2009-08-23,2.878999948501587,0.46,0.16
2009-08-24,2.9140000343322754,0.46,0.16
2009-08-25,2.8540000915527344,0.46,0.15
2009-08-26,2.8554999828338623,0.46,0.15
2009-08-27,2.8454999923706055,0.46,0.14
2009-08-28,2.9230000972747803,0.46,0.14
2009-08-29,2.9230000972747803,0.46,0.14
2009-08-30,2.9230000972747803,0.46,0.14
2009-08-31,2.808000087738037,0.46,0.15
2009-09-01,2.7964999675750732,0.49,0.15
2009-09-02,2.802500009536743,0.49,0.16
2009-09-03,2.8434998989105225,0.49,0.15
2009-09-04,2.8434998989105225,0.49,0.15
2009-09-05,2.8434998989105225,0.49,0.15
2009-09-06,2.8434998989105225,0.49,0.15
2009-09-07,2.8434998989105225,0.49,0.15
2009-09-08,2.934499979019165,0.49,0.15
2009-09-09,2.9059998989105225,0.49,0.15
2009-09-10,2.859499931335449,0.49,0.16
2009-09-11,2.827500104904175,0.49,0.15
2009-09-12,2.827500104904175,0.49,0.15
2009-09-13,2.827500104904175,0.49,0.15
2009-09-14,2.7869999408721924,0.49,0.16
2009-09-15,2.8285000324249268,0.49,0.17
2009-09-16,2.9205000400543213,0.49,0.17
2009-09-17,2.880000114440918,0.49,0.16
2009-09-18,2.7709999084472656,0.49,0.16
2009-09-19,2.7709999084472656,0.49,0.16
2009-09-20,2.7709999084472656,0.49,0.16
2009-09-21,2.7925000190734863,0.49,0.15
2009-09-22,2.8524999618530273,0.49,0.15
2009-09-23,2.7964999675750732,0.49,0.15
2009-09-24,2.69950008392334,0.49,0.14
2009-09-25,2.7309999465942383,0.49,0.13
2009-09-26,2.7309999465942383,0.49,0.13
2009-09-27,2.7309999465942383,0.49,0.13
2009-09-28,2.7139999866485596,0.49,0.13
2009-09-29,2.7149999141693115,0.49,0.11
2009-09-30,2.809000015258789,0.49,0.07
2009-10-01,2.7255001068115234,0.49,0.11
2009-10-02,2.6714999675750732,0.49,0.13
2009-10-03,2.6714999675750732,0.49,0.13
2009-10-04,2.6714999675750732,0.49,0.13
2009-10-05,2.7179999351501465,0.49,0.13
2009-10-06,2.7755000591278076,0.49,0.12
2009-10-07,2.7704999446868896,0.49,0.13
2009-10-08,2.88700008392334,0.49,0.12
2009-10-09,2.8285000324249268,0.49,0.12
2009-10-10,2.8285000324249268,0.49,0.12
2009-10-11,2.8285000324249268,0.49,0.12
2009-10-12,2.8480000495910645,0.49,0.12
2009-10-13,2.7860000133514404,0.49,0.12
2009-10-14,2.8364999294281006,0.49,0.12
2009-10-15,2.8510000705718994,0.49,0.13
2009-10-16,2.8375000953674316,0.49,0.12
2009-10-17,2.8375000953674316,0.49,0.12
2009-10-18,2.8375000953674316,0.49,0.12
