ds,y
2019-08-14,95.70999908447266
2019-08-15,93.76000213623047
2019-08-16,93.61000061035156
2019-08-19,94.36000061035156
2019-08-20,94.0199966430664
2019-08-21,92.01000213623047
2019-08-22,92.7300033569336
2019-08-23,92.87999725341797
2019-08-26,92.44999694824219
2019-08-27,92.05999755859375
2019-08-28,91.62999725341797
2019-08-29,91.16000366210938
2019-08-30,90.91000366210938
2019-09-03,89.55000305175781
2019-09-04,91.56999969482422
2019-09-05,90.72000122070312
2019-09-06,89.44000244140625
2019-09-09,91.2300033569336
2019-09-10,91.37000274658203
2019-09-11,92.33999633789062
2019-09-12,94.13999938964844
2019-09-13,94.7699966430664
2019-09-16,94.37000274658203
2019-09-17,94.02999877929688
2019-09-18,93.97000122070312
2019-09-19,93.45999908447266
2019-09-20,93.37999725341797
2019-09-23,93.48999786376953
2019-09-24,93.20999908447266
2019-09-25,92.97000122070312
2019-09-26,92.94999694824219
2019-09-27,92.88999938964844
2019-09-30,92.91000366210938
2019-10-01,92.16000366210938
2019-10-02,92.26000213623047
2019-10-03,92.26000213623047
2019-10-04,92.18000030517578
2019-10-07,92.55000305175781
2019-10-08,93.52999877929688
2019-10-09,91.58999633789062
2019-10-10,93.01000213623047
2019-10-11,92.86000061035156
2019-10-14,92.2300033569336
2019-10-15,92.62000274658203
2019-10-16,91.4000015258789
2019-10-17,90.01000213623047
2019-10-18,90.76000213623047
2019-10-21,90.58000183105469
2019-10-22,90.52999877929688
2019-10-23,90.44999694824219
2019-10-24,90.11000061035156
2019-10-25,90.22000122070312
2019-10-28,90.2300033569336
2019-10-29,90.02999877929688
2019-10-30,89.80000305175781
2019-10-31,89.55000305175781
2019-11-01,83.55000305175781
2019-11-04,82.8499984741211
2019-11-05,82.8499984741211
2019-11-06,82.9800033569336
2019-11-07,82.55000305175781
2019-11-08,80.36000061035156
2019-11-11,80.30000305175781
2019-11-12,81.36000061035156
2019-11-13,81.26000213623047
2019-11-14,82.5199966430664
2019-11-15,82.80000305175781
2019-11-18,82.93000030517578
2019-11-19,83.19000244140625
2019-11-20,83.3499984741211
2019-11-21,83.55000305175781
2019-11-22,83.79000091552734
2019-11-25,84.29000091552734
2019-11-26,84.3499984741211
2019-11-27,84.41999816894531
2019-11-29,84.68000030517578
2019-12-02,88.11000061035156
2019-12-03,87.6500015258789
2019-12-04,88.2699966430664
2019-12-05,88.33999633789062
2019-12-06,88.55999755859375
2019-12-09,92.04000091552734
2019-12-10,91.36000061035156
2019-12-11,92.05000305175781
2019-12-12,92.04000091552734
2019-12-13,92.2699966430664
2019-12-16,92.0999984741211
2019-12-17,92.08999633789062
2019-12-18,91.98999786376953
2019-12-19,92.0
2019-12-20,91.73999786376953
2019-12-23,91.72000122070312
2019-12-24,91.69999694824219
2019-12-26,91.61000061035156
2019-12-27,91.55000305175781
2019-12-30,91.5199966430664
2019-12-31,91.52999877929688
2020-01-02,92.58000183105469
2020-01-03,93.41000366210938
2020-01-06,93.8499984741211
2020-01-07,93.7300033569336
2020-01-08,94.61000061035156
2020-01-09,93.56999969482422
2020-01-10,93.55999755859375
2020-01-13,94.02999877929688
2020-01-14,94.83000183105469
2020-01-15,94.58999633789062
2020-01-16,94.55000305175781
2020-01-17,94.80999755859375
2020-01-21,94.80000305175781
2020-01-22,94.76000213623047
2020-01-23,94.4000015258789
2020-01-24,94.3499984741211
2020-01-27,94.01000213623047
2020-01-28,93.5999984741211
2020-01-29,93.33999633789062
2020-01-30,92.9000015258789
2020-01-31,92.44000244140625
2020-02-03,78.33000183105469
2020-02-04,81.62999725341797
2020-02-05,79.87000274658203
2020-02-06,80.95999908447266
2020-02-07,81.6500015258789
2020-02-10,81.25
2020-02-11,83.36000061035156
2020-02-12,84.47000122070312
2020-02-13,85.13999938964844
2020-02-14,84.86000061035156
2020-02-18,85.43000030517578
2020-02-19,85.69999694824219
2020-02-20,86.1500015258789
2020-02-21,86.41999816894531
2020-02-24,86.55999755859375
2020-02-25,86.7300033569336
2020-02-26,86.66999816894531
2020-02-27,86.58000183105469
2020-02-28,86.45999908447266
2020-03-02,87.0999984741211
2020-03-03,87.13999938964844
2020-03-04,89.62999725341797
2020-03-05,90.12000274658203
